,thk_00,thk_01,thk_02,thk_03,thk_04,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,rho0_05,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,max_pha_05,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,tau_phi_05,c_00,c_01,c_02,c_03,c_04,c_05
dB/dt tg01,-2.7873408611954177e-05,3.6918521515557827e-06,-8.491787538012025e-08,1.2732863341684088e-09,-4.086389674525362e-13,-9.513660973738028e-06,-3.6798975008500983e-06,1.839936967880526e-06,2.911158785479102e-08,2.170415194433034e-10,3.879696794644477e-12,0.004258176545640616,0.0009323658847708014,-0.00027825511526911824,-4.856938907434299e-06,-3.084616381268471e-08,3.9760184481882666e-10,0.03462562456878347,0.014257299698415705,-0.0798003594089126,-0.000412407639798331,-4.150278694231129e-06,2.965546256561364e-07,-6.931855745000276e-06,-0.000244814300625402,0.00010897507249142448,2.1205526678435923e-06,1.5492240676603596e-08,-1.427835571827441e-10
dB/dt tg02,-2.1183428712893172e-05,-2.2783535276979066e-06,-1.53864128397517e-07,1.6208964386516078e-09,-2.3551982651099096e-12,-5.383261679481473e-06,-2.646298990000352e-06,1.2495890174242228e-06,7.296094204112616e-08,1.4368749588427224e-10,3.036845701450718e-12,0.0020648941762563527,0.0006564574175599393,-0.00017201225206426226,-1.1886844933968072e-05,-2.132830936299054e-08,5.149344044966472e-10,0.019255047934138885,0.03160803811585831,-0.07135637010773796,-0.0013154660171990093,-1.9024691471084016e-06,3.191225181169709e-07,-3.921954673873199e-06,-0.00015957565222195173,6.0709043467205724e-05,5.002502050067201e-06,1.132207612253893e-08,-2.1563045294687288e-10
dB/dt tg03,-1.6766376624167598e-05,-4.954341863149715e-06,-1.962669308399531e-07,6.159233507056076e-09,-3.758109574429526e-12,-3.3061123836763902e-06,-1.9281090395069523e-06,7.477639754336803e-07,1.2184133916503217e-07,5.383711086579224e-10,1.9779328546153987e-12,0.001057663356424074,0.0004675134958394299,-8.642921790781452e-05,-1.9458726380574497e-05,-7.994787315020963e-08,6.617426612442577e-10,0.011591529310936032,0.037723616652933056,-0.059014472653301786,-0.0025830987978573746,-7.4647017310545035e-06,3.4799397779028784e-07,-2.4061943633095845e-06,-0.00010567568768451955,2.4618567610783764e-05,7.969258817933818e-06,4.2536520804905e-08,-3.0600043955766266e-10
dB/dt tg04,-1.250688866807822e-05,-6.016987133177577e-06,-1.8745632384081288e-07,2.7015630841894733e-08,8.846584125588287e-12,-1.8862554799744928e-06,-1.2743280344465927e-06,2.2720778747760088e-07,1.743070238426678e-07,3.176019043431247e-09,4.483678087109104e-12,0.0004571672063519688,0.0002979638945799033,-2.005611646058964e-06,-2.7048906878763212e-05,-4.606599659816218e-07,3.055129993006703e-10,0.006422257593639322,0.038484935629605053,-0.04096931004728872,-0.00447116369008761,-5.431565570116615e-05,2.8406715384450807e-07,-1.368879684132729e-06,-6.087832004039044e-05,-8.206783664194088e-06,1.0705600366630339e-05,2.3813130224155457e-07,-8.072415930639564e-11
dB/dt tg05,-8.578346915471681e-06,-5.4252256961249376e-06,-8.045360302075087e-08,7.704129394770391e-08,2.5738962720962716e-10,-1.0064179292217784e-06,-7.846066475774068e-07,-1.865380015848092e-07,2.0146861057831294e-07,1.1635301435803487e-08,2.1478560313139152e-11,0.00014647400696479444,0.00017345232818751207,5.9828725959343126e-05,-2.9842763569851133e-05,-1.6415762438116992e-06,-2.199803098194753e-09,0.0032811093983790805,0.03486365588656084,-0.019965661236570453,-0.0065214031100023166,-0.00024117142498646224,-6.043016615105363e-08,-7.264484104912296e-07,-3.0919577741008754e-05,-2.896551593294471e-05,1.1266893068915647e-05,8.244914774930529e-07,1.6295760589651781e-09
dB/dt tg06,-6.024730468992739e-06,-4.346729330348886e-06,4.9554809112222023e-08,1.3148635936667934e-07,1.4672218601167816e-09,-6.108959565004263e-07,-5.229175867658833e-07,-3.7603081086025353e-07,1.8343080025807248e-07,2.5020707225539336e-08,1.0654249737863428e-10,3.9751630902290574e-05,0.00010868789050170258,8.378831981298076e-05,-2.5600966909886093e-05,-3.4341768813128435e-06,-1.4507826120978891e-08,0.00190753882324801,0.030345458611570782,-0.005189477498778463,-0.00732300651188326,-0.0006066049366026204,-1.932592206738101e-06,-4.382615175323065e-07,-1.6942311422356783e-05,-3.479485969198193e-05,9.253558565245971e-06,1.6785114956797655e-06,1.0036740143308352e-08
dB/dt tg07,-4.324848608852222e-06,-3.3725748487301927e-06,1.5156652968154355e-07,1.7133469288347417e-07,5.8177832614702695e-09,-4.1020297340367874e-07,-3.696856640520098e-07,-4.434007884833056e-07,1.444654866612197e-07,3.862749583137739e-08,5.305937768943313e-10,1.9117412268762654e-06,7.189098550089002e-05,8.838118436543251e-05,-1.8516508988803714e-05,-5.165742122263907e-06,-7.430186670453578e-08,0.0012320687008183211,0.02623008180577265,0.004342283913154496,-0.007113780366463325,-0.0010610518069072608,-1.2529256037416886e-05,-2.925133355042744e-07,-9.798519525499632e-06,-3.4026155372728425e-05,6.401110333089229e-06,2.470472434224293e-06,4.9734753107346695e-08
dB/dt tg08,-2.767024557611814e-06,-2.328670224943214e-06,2.248312005863674e-07,1.9188167279447251e-07,1.881337671853995e-08,-2.566138491425084e-07,-2.408398119861519e-07,-4.400500864749696e-07,8.374076996208377e-08,5.2665433028128486e-08,2.0961815107873734e-09,-1.6892031563340717e-05,4.2119595471950944e-05,8.048300674173122e-05,-8.476211727719619e-06,-6.760627071486212e-06,-2.8920129922023224e-07,0.0007316914760726374,0.02136747014717114,0.011745140445433563,-0.005793003837599984,-0.001700773082352471,-5.5900062401053315e-05,-1.814965941092762e-07,-4.675891233625407e-06,-2.8995595580157752e-05,2.72620267746165e-06,3.142371151698504e-06,1.904566806444844e-07
dB/dt tg09,-1.5489913817489468e-06,-1.4159921143018233e-06,2.3507146254582036e-07,1.7587829056625635e-07,4.3410831709702417e-08,-1.5132997950584879e-07,-1.4488770521086775e-07,-3.684459112319078e-07,1.8266220074589288e-08,5.726001977723015e-08,6.673350122464287e-09,-2.255296396086721e-05,2.125679290735964e-05,6.199927854221237e-05,1.3907590696956577e-06,-6.890422242056336e-06,-8.82033191044434e-07,0.00040281451734802324,0.01628032386796918,0.015223688995455413,-0.0034488245861121584,-0.002227184474147482,-0.00020756504151139805,-1.0591527804702774e-07,-1.6768369772397063e-06,-2.113220110118875e-05,-5.788551667807336e-07,3.123107760673562e-06,5.705597137409412e-07
dB/dt tg10,-9.002245272814263e-07,-8.963230408590869e-07,1.9759487707490068e-07,1.385648981319953e-07,6.477879227417018e-08,-9.768301143866007e-08,-9.262146159649385e-08,-2.88478191486028e-07,-1.957971815462668e-08,4.893001781171388e-08,1.295854573355382e-08,-2.202729779171643e-05,1.076334711700326e-05,4.5144851558413445e-05,6.350092425792916e-06,-5.383471095159745e-06,-1.6503648989442986e-06,0.00024266259352328476,0.012598995965564627,0.015023700645881002,-0.0014360639107873596,-0.0022731453699318207,-0.0004455607942069566,-6.768229394331933e-08,-4.739554740761819e-07,-1.4983294681006154e-05,-2.0726961065769494e-06,2.4214088388865787e-06,1.0594463245607213e-06
dB/dt tg11,-5.381870925692415e-07,-5.920183082592393e-07,1.4973986910630517e-07,9.918178310088843e-08,7.38255636342747e-08,-6.70938698337464e-08,-6.17796825071671e-08,-2.2123281329571028e-07,-3.7881318438630965e-08,3.606150810191962e-08,1.90733602293164e-08,-2.0159141306407427e-05,5.11164511678686e-06,3.222854386023009e-05,8.197359835403376e-06,-3.4652157024116625e-06,-2.3382737439078286e-06,0.0001550711987418581,0.009893621671545975,0.013505444567353263,-2.518513210785811e-05,-0.0019992309502225303,-0.0007134710984561946,-4.602643848072934e-08,1.733046483550844e-08,-1.0637724944206873e-05,-2.5514136909247653e-06,1.5959485755317564e-06,1.4992012724501499e-06
dB/dt tg12,-2.631889306424302e-07,-3.4917269807227186e-07,8.682403456995178e-08,5.035953924514563e-08,6.866723346419516e-08,-4.174222205616994e-08,-3.603454051857873e-08,-1.4975660485930434e-07,-4.511807777483561e-08,1.783402252673864e-08,2.5583887407598785e-08,-1.7377016271538438e-05,9.561945353638259e-07,1.9549458591518118e-05,8.114213708469748e-06,-1.0230750907560494e-06,-2.975502829392995e-06,8.558770099363993e-05,0.007113670133656313,0.01080975349481895,0.0011328946696783212,-0.0013758548973507427,-0.001052088314424756,-2.820132345428416e-08,2.456126477340048e-07,-6.6229126567768324e-06,-2.434574746671664e-06,5.962051348419759e-07,1.920573087433707e-06
dB/dt tg13,-9.817752389990045e-08,-1.9075178139158139e-07,2.4484971801287353e-08,2.9781835702862923e-09,4.421454857729153e-08,-2.3670932252705704e-08,-1.7875528069199252e-08,-8.78000923348421e-08,-4.039938449108726e-08,7.961006257352728e-10,2.850008935073587e-08,-1.4064172782854203e-05,-1.363438604325187e-06,9.55480865176213e-06,6.327139566999536e-06,9.724059806435118e-07,-3.0741642588789613e-06,3.920211819651823e-05,0.00462468762197631,0.007541781578156563,0.0016851744035632577,-0.0005696100124721532,-0.001298080469605251,-1.561561664338446e-08,2.547162085769647e-07,-3.5891115065370702e-06,-1.866254268541882e-06,-2.0240496186364502e-07,2.038504192338124e-06
dB/dt tg14,-3.3907876519169544e-08,-1.1891405369105457e-07,-1.2315526891886689e-08,-2.4497694510820696e-08,1.8444512925063294e-08,-1.44309998779598e-08,-8.9651205422751e-09,-5.2123637818331644e-08,-3.162390224858273e-08,-7.95571343090909e-09,2.6505586046125215e-08,-1.1435183913547889e-05,-2.0745120661496785e-06,4.41906811512892e-06,4.436203731301301e-06,1.7798984523742954e-06,-2.630488922345938e-06,1.7561227412468804e-05,0.0030621526978093427,0.005141341661475973,0.0016703761247193604,-6.888784039656496e-06,-0.0013115385105028445,-9.258102003249212e-09,1.81365255194509e-07,-2.045295123152401e-06,-1.3280883899376595e-06,-5.371133165033957e-07,1.8264406993221092e-06
dB/dt tg15,-7.886050132942727e-09,-8.226231965764646e-08,-3.051007940744909e-08,-3.737399291705881e-08,3.8362702821250287e-10,-9.359981420969311e-09,-4.423171310369771e-09,-3.1791758176235925e-08,-2.395006530549548e-08,-1.1409808831971359e-08,2.2128117721148547e-08,-9.41136708410514e-06,-2.169949836838904e-06,1.8320141668099326e-06,3.0335379155616903e-06,1.93551771626767e-06,-1.993681968121245e-06,6.9159300092181974e-06,0.0020696070441547335,0.0035248849648652158,0.0014663472048205796,0.0003096562831407537,-0.0011726470285445768,-5.814559038482204e-09,1.1014393953830611e-07,-1.236801767491752e-06,-9.490134968816227e-07,-6.317022735804601e-07,1.4843166069645526e-06
