X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
12.244,406.954,7.368,55.116,0.0,1e-06,0.1
12.244,406.954,8.27,66.364,0.2,8.8e-05,0.587
12.244,406.954,7.907,35.313,0.3,9.5e-05,0.506
12.244,406.954,7.926,31.661,0.3,0.0001,0.503
12.244,406.954,7.938,26.669,0.3,0.0001,0.485
12.244,406.954,0.0,23.026,0.4,0.00011,0.462
