X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
12.244,406.954,7.966,56.223,0.0,1e-06,0.1
12.244,406.954,8.133,63.29,0.2,8.9e-05,0.595
12.244,406.954,7.906,34.233,0.3,9.4e-05,0.5
12.244,406.954,7.922,32.328,0.3,9.9e-05,0.505
12.244,406.954,7.932,26.791,0.3,0.0001,0.486
12.244,406.954,0.0,22.017,0.4,0.00011,0.454
