X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
12.500,0.000,0.000,7.368,55.116,0.0,1.0e-06,0.100
12.500,0.000,0.000,8.270,66.364,0.2,8.8e-05,0.587
12.500,0.000,0.000,7.907,35.313,0.3,9.5e-05,0.506
12.500,0.000,0.000,7.926,31.661,0.3,1.0e-04,0.503
12.500,0.000,0.000,7.938,26.669,0.3,1.0e-04,0.485
12.500,0.000,0.000,0.000,23.026,0.4,1.1e-04,0.462
