,sensitivity,confidence
$\mathrm{thk}_{1}$,20.136127385056646,13.145499183435824
$\mathrm{thk}_{2}$,20.37981929510572,13.625493648781962
$\mathrm{thk}_{3}$,8.33667621140348,4.890023332675412
$\mathrm{thk}_{4}$,2.9201177672545184,1.8026790036972686
$\mathrm{thk}_{5}$,0.9737047160397925,0.5927803903397002
$\mathrm{thk}_{6}$,1.68327437789238,1.0524172864848171
$\mathrm{thk}_{7}$,1.1279647142544462,0.7678565976660534
$\mathrm{thk}_{8}$,1.5172767618971448,0.9699794600717961
$\mathrm{thk}_{9}$,2.478451745647284,1.62002598548416
$\rho_{1}$,34.8024126517952,22.091767529005367
$\rho_{2}$,37.538656700445074,24.066062199057676
$\rho_{3}$,28.841741472294252,17.56079475889626
$\rho_{4}$,3.2373055028747357,2.038495739284379
$\rho_{5}$,6.777484394433029,4.02785016241686
$\rho_{6}$,3.764434146932518,2.2945842091475503
$\rho_{7}$,2.6232248915011023,1.6914569168936149
$\rho_{8}$,1.1128699418285362,0.692211629668938
$\rho_{9}$,0.685280210063993,0.4293474294659295
$\rho_{10}$,0.678287330374659,0.41786160613847756
