tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20,tg_21,tg_22,tg_23
9.90185e-04,5.59652e-04,3.53602e-04,2.37749e-04,1.46713e-04,8.37486e-05,5.22906e-05,3.49713e-05,2.13724e-05,1.20912e-05,7.52277e-06,5.02691e-06,3.07050e-06,1.74862e-06,1.09324e-06,7.36768e-07,4.44404e-07,2.58233e-07,1.64809e-07,1.12464e-07,6.93010e-08,4.07726e-08,2.62500e-08,1.80218e-08
1.62721e-03,8.74553e-04,5.31390e-04,3.46073e-04,2.06088e-04,1.13347e-04,6.88078e-05,4.50230e-05,2.68510e-05,1.48094e-05,9.03950e-06,5.95164e-06,3.57593e-06,2.00231e-06,1.23605e-06,8.24986e-07,4.92048e-07,2.82846e-07,1.79071e-07,1.21438e-07,7.42977e-08,4.34067e-08,2.77999e-08,1.90087e-08
1.21643e-03,6.72786e-04,4.33063e-04,3.00423e-04,1.94801e-04,1.18280e-04,7.75829e-05,5.38904e-05,3.42601e-05,2.00815e-05,1.27579e-05,8.62357e-06,5.30167e-06,3.01313e-06,1.86747e-06,1.24380e-06,7.35325e-07,4.16090e-07,2.59041e-07,1.72843e-07,1.03429e-07,5.89153e-08,3.69449e-08,2.48224e-08
1.26800e-03,6.81871e-04,4.20532e-04,2.78444e-04,1.69573e-04,9.56956e-05,5.92802e-05,3.94147e-05,2.39283e-05,1.34407e-05,8.31441e-06,5.52932e-06,3.35791e-06,1.89979e-06,1.18132e-06,7.92566e-07,4.75382e-07,2.74629e-07,1.74464e-07,1.18606e-07,7.27587e-08,4.26116e-08,2.73378e-08,1.87167e-08
1.26596e-03,6.81188e-04,4.20794e-04,2.79194e-04,1.70515e-04,9.65102e-05,5.98789e-05,3.98301e-05,2.41634e-05,1.35395e-05,8.34891e-06,5.53366e-06,3.34500e-06,1.88186e-06,1.16473e-06,7.78564e-07,4.65019e-07,2.67637e-07,1.69612e-07,1.15132e-07,7.05364e-08,4.12833e-08,2.64853e-08,1.81387e-08
1.26572e-03,6.80754e-04,4.20255e-04,2.78641e-04,1.70042e-04,9.62036e-05,5.97150e-05,3.97659e-05,2.41832e-05,1.36086e-05,8.43064e-06,5.61367e-06,3.41458e-06,1.93557e-06,1.20557e-06,8.09973e-07,4.86668e-07,2.81625e-07,1.79122e-07,1.21871e-07,7.48150e-08,4.38318e-08,2.81198e-08,1.92473e-08
1.26572e-03,6.80767e-04,4.20280e-04,2.78678e-04,1.70090e-04,9.62555e-05,5.97616e-05,3.98039e-05,2.42082e-05,1.36195e-05,8.43262e-06,5.61050e-06,3.40788e-06,1.92770e-06,1.19816e-06,8.03465e-07,4.81564e-07,2.77969e-07,1.76469e-07,1.19906e-07,7.35113e-08,4.30266e-08,2.75915e-08,1.88835e-08
9.32856e-04,5.28859e-04,3.35776e-04,2.26833e-04,1.40809e-04,8.09060e-05,5.07700e-05,3.40867e-05,2.09203e-05,1.18857e-05,7.41711e-06,4.96712e-06,3.04081e-06,1.73531e-06,1.08641e-06,7.32856e-07,4.42468e-07,2.57310e-07,1.64302e-07,1.12155e-07,6.91339e-08,4.06859e-08,2.61992e-08,1.79894e-08
2.45417e-03,1.31644e-03,8.05998e-04,5.30439e-04,3.20704e-04,1.79475e-04,1.10307e-04,7.27615e-05,4.36587e-05,2.41143e-05,1.46672e-05,9.59523e-06,5.69721e-06,3.13188e-06,1.89730e-06,1.24401e-06,7.23849e-07,4.04542e-07,2.50068e-07,1.66187e-07,9.91534e-08,5.64187e-08,3.53927e-08,2.38032e-08
1.14072e-03,5.76018e-04,3.39998e-04,2.18085e-04,1.28947e-04,7.10875e-05,4.35117e-05,2.87767e-05,1.74429e-05,9.83730e-06,6.12975e-06,4.11116e-06,2.52841e-06,1.45458e-06,9.18349e-07,6.24378e-07,3.81031e-07,2.24222e-07,1.44582e-07,9.94986e-08,6.19419e-08,3.68272e-08,2.39023e-08,1.65153e-08
1.24228e-03,6.78616e-04,4.28454e-04,2.90952e-04,1.83243e-04,1.07476e-04,6.85798e-05,4.66268e-05,2.89686e-05,1.66139e-05,1.04069e-05,6.97096e-06,4.25373e-06,2.40798e-06,1.49269e-06,9.96657e-07,5.92688e-07,3.38463e-07,2.12692e-07,1.43181e-07,8.67164e-08,5.00760e-08,3.17614e-08,2.15427e-08
1.26592e-03,6.80933e-04,4.20389e-04,2.78737e-04,1.70101e-04,9.62334e-05,5.97288e-05,3.97696e-05,2.41776e-05,1.35960e-05,8.41505e-06,5.59733e-06,3.39901e-06,1.92229e-06,1.19466e-06,8.01062e-07,4.80083e-07,2.77081e-07,1.75882e-07,1.19491e-07,7.32425e-08,4.28601e-08,2.74804e-08,1.88054e-08
1.26516e-03,6.79678e-04,4.18823e-04,2.77057e-04,1.68511e-04,9.49843e-05,5.88491e-05,3.91987e-05,2.39270e-05,1.36080e-05,8.55906e-06,5.80165e-06,3.62813e-06,2.13658e-06,1.37815e-06,9.53967e-07,5.94494e-07,3.56146e-07,2.31954e-07,1.60355e-07,9.98842e-08,5.90511e-08,3.79791e-08,2.59676e-08
1.26572e-03,6.80767e-04,4.20280e-04,2.78678e-04,1.70088e-04,9.62477e-05,5.97433e-05,3.97728e-05,2.41596e-05,1.35547e-05,8.36245e-06,5.54265e-06,3.35035e-06,1.88804e-06,1.17445e-06,7.91731e-07,4.81638e-07,2.85621e-07,1.86854e-07,1.30757e-07,8.33942e-08,5.09193e-08,3.37057e-08,2.36126e-08
1.26572e-03,6.80767e-04,4.20280e-04,2.78678e-04,1.70090e-04,9.62554e-05,5.97615e-05,3.98037e-05,2.42080e-05,1.36191e-05,8.43172e-06,5.60883e-06,3.40491e-06,1.92311e-06,1.19260e-06,7.97573e-07,4.75982e-07,2.73448e-07,1.73110e-07,1.17550e-07,7.22677e-08,4.26764e-08,2.77129e-08,1.92425e-08
1.26572e-03,6.80767e-04,4.20280e-04,2.78678e-04,1.70090e-04,9.62555e-05,5.97617e-05,3.98039e-05,2.42082e-05,1.36196e-05,8.43284e-06,5.61078e-06,3.40821e-06,1.92801e-06,1.19840e-06,8.03635e-07,4.81644e-07,2.77974e-07,1.76436e-07,1.19857e-07,7.34572e-08,4.29784e-08,2.75520e-08,1.88520e-08
6.46494e-04,3.39098e-04,2.05291e-04,1.34875e-04,8.23991e-05,4.74939e-05,3.03036e-05,2.07858e-05,1.31622e-05,7.77302e-06,5.00410e-06,3.43165e-06,2.15067e-06,1.24787e-06,7.84222e-07,5.26762e-07,3.13689e-07,1.78861e-07,1.12726e-07,7.67376e-08,4.80564e-08,2.97397e-08,2.05471e-08,1.52716e-08
6.65468e-04,3.48039e-04,2.10080e-04,1.37639e-04,8.38048e-05,4.81360e-05,3.06423e-05,2.09880e-05,1.32755e-05,7.83562e-06,5.04427e-06,3.45992e-06,2.16941e-06,1.25967e-06,7.92162e-07,5.32345e-07,3.17102e-07,1.80732e-07,1.13775e-07,7.73247e-08,4.82843e-08,2.97670e-08,2.05005e-08,1.52003e-08
