name,cum_sd,Z
P08-25,0.000,434.085
P07-12,69.630,416.346
P06-12,103.019,405.385
L10-12,112.510,402.764
P01-12,142.380,399.235
P01-25,156.919,398.324
P02-12,168.562,397.120
P03-12,199.156,393.550
P04-25,235.353,390.404
P05-25,364.423,384.844
