name,X,Y,Z
L01,-65204.3594323862,344470.369633882,406.867
L02,-65194.9200383299,344462.571873575,406.95401
L03,-65184.8650316177,344454.36370483,406.29599
L04,-65181.0687535733,344444.103493899,404.487
L05,-65172.0397679542,344436.510937811,404.37701
L06,-65163.8602332437,344427.630521649,402.76501
L07,-65156.961595156,344420.211618395,402.59399
L08,-65149.058651961,344409.667366073,403.103
L09,-65143.5831979079,344407.714021143,402.04901
L10,-65128.331269389,344399.47157635,402.42001
L11,-65112.3005950203,344395.1223943,403.522
L12,-65098.9870661269,344386.851516905,404.151
L13,-65087.8034362123,344380.592788238,404.211
L14,-65064.597297103,344369.665053168,405.505
L15,-65013.9299175105,344337.910310765,405.72198
L16,-64980.8920383133,344307.745290629,395.12399
