X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
60.307,402.765,5.891,15.612,0.0,1e-06,0.1
60.307,402.765,10.049,82.216,0.1,9.3e-05,0.508
60.307,402.765,5.478,15.75,0.3,0.00013,0.476
60.307,402.765,8.121,18.641,0.4,0.00011,0.393
60.307,402.765,8.392,20.03,0.4,0.00011,0.441
60.307,402.765,0.0,23.705,0.4,0.0001,0.463
