time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,2.459208056e-03,2.941504000e-03,4.269248000e-06,2.647353600e-04,1.723345595e+01,1.532000000e+01
6.070000e-06,1.445157920e-03,1.666240000e-03,2.369996800e-06,1.499616000e-04,1.819663718e+01,1.655000000e+01
7.080000e-06,9.157158076e-04,1.018112000e-03,1.506963200e-06,9.163008000e-05,1.908475499e+01,1.779000000e+01
8.520000e-06,5.382919770e-04,5.499904000e-04,7.806400000e-07,4.949913600e-05,1.997581757e+01,1.970000000e+01
1.053000e-05,2.972001860e-04,2.731584000e-04,3.723456000e-07,2.458425600e-05,2.085302942e+01,2.206000000e+01
1.255000e-05,1.855765968e-04,1.618220800e-04,2.530848000e-07,1.456398720e-05,2.130561846e+01,2.335000000e+01
1.456000e-05,1.275457406e-04,1.115987200e-04,2.076633600e-07,1.004388480e-05,2.135680231e+01,2.336000000e+01
1.744000e-05,8.274860386e-05,7.530880000e-05,1.046451200e-07,6.777792000e-06,2.109427360e+01,2.246000000e+01
2.146000e-05,5.201932228e-05,5.069568000e-05,9.472640000e-08,4.562611200e-06,2.034338273e+01,2.069000000e+01
2.549000e-05,3.631363905e-05,3.731328000e-05,7.643712000e-08,3.358195200e-06,1.940526532e+01,1.906000000e+01
2.950000e-05,2.725315376e-05,2.873280000e-05,6.906368000e-08,2.585952000e-06,1.841908088e+01,1.778000000e+01
3.528000e-05,1.951206057e-05,2.094214400e-05,4.298112000e-08,1.884792960e-06,1.708045523e+01,1.630000000e+01
4.330000e-05,1.353669299e-05,1.453958400e-05,3.587008000e-08,1.308562560e-06,1.549152881e+01,1.477000000e+01
5.140000e-05,1.001748511e-05,1.056422400e-05,3.807424000e-08,9.507801600e-07,1.422781328e+01,1.373000000e+01
5.941000e-05,7.721661392e-06,7.953344000e-06,3.209152000e-08,7.158009600e-07,1.329462433e+01,1.304000000e+01
7.095000e-05,5.428111117e-06,5.431680000e-06,2.151680000e-08,4.888512000e-07,1.250919435e+01,1.250000000e+01
8.707000e-05,3.575132804e-06,3.429568000e-06,1.883244800e-08,3.086611200e-07,1.174735606e+01,1.208000000e+01
1.031600e-04,2.429822275e-06,2.318041600e-06,1.665715200e-08,2.086237440e-07,1.145549686e+01,1.182000000e+01
1.192200e-04,1.685615849e-06,1.591718400e-06,1.711897600e-08,1.432546560e-07,1.148580818e+01,1.193000000e+01
1.423300e-04,1.001685458e-06,9.931840000e-07,1.088435200e-08,8.938656000e-08,1.209485959e+01,1.217000000e+01
1.745400e-04,5.190752143e-07,5.733440000e-07,1.011027200e-08,5.160096000e-08,1.334352822e+01,1.249000000e+01
