tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20,tg_21,tg_22,tg_23,tg_24,tg_25,tg_26,tg_27,tg_28,tg_29,tg_30,tg_31
1.56451e-02,1.02791e-02,6.11916e-03,4.10567e-03,2.65831e-03,1.69666e-03,1.19883e-03,9.01218e-04,6.36645e-04,4.20808e-04,2.93729e-04,2.13362e-04,1.41632e-04,8.64057e-05,5.59584e-05,3.84358e-05,2.34024e-05,1.33379e-05,8.32506e-06,5.55041e-06,3.24767e-06,1.81512e-06,1.13105e-06,7.45512e-07,4.54323e-07,2.59825e-07,1.63241e-07,1.10703e-07,7.04193e-08,4.13287e-08,2.66865e-08,1.86397e-08
1.55011e-02,1.00932e-02,5.90850e-03,3.91476e-03,2.52147e-03,1.61916e-03,1.15786e-03,8.83102e-04,6.39585e-04,4.40210e-04,3.20105e-04,2.41125e-04,1.67228e-04,1.07094e-04,7.21792e-05,5.10682e-05,3.21053e-05,1.89215e-05,1.20654e-05,8.14390e-06,4.83002e-06,2.71456e-06,1.68325e-06,1.10112e-06,6.61828e-07,3.70025e-07,2.27054e-07,1.50681e-07,9.34980e-08,5.32036e-08,3.35441e-08,2.30623e-08
1.55011e-02,1.00934e-02,5.90936e-03,3.91701e-03,2.52701e-03,1.63041e-03,1.17374e-03,9.01023e-04,6.56091e-04,4.51122e-04,3.25830e-04,2.43297e-04,1.66327e-04,1.04356e-04,6.90705e-05,4.81606e-05,2.97397e-05,1.71655e-05,1.07701e-05,7.18038e-06,4.19087e-06,2.32521e-06,1.43410e-06,9.34295e-07,5.59924e-07,3.13493e-07,1.93131e-07,1.28922e-07,8.07907e-08,4.65792e-08,2.96526e-08,2.05097e-08
1.55011e-02,1.00934e-02,5.90935e-03,3.91700e-03,2.52692e-03,1.63008e-03,1.17307e-03,9.00069e-04,6.54896e-04,4.49848e-04,3.24630e-04,2.42238e-04,1.65492e-04,1.03783e-04,6.86892e-05,4.79186e-05,2.96470e-05,1.71950e-05,1.08687e-05,7.31358e-06,4.33878e-06,2.46339e-06,1.55367e-06,1.03524e-06,6.37765e-07,3.67129e-07,2.31386e-07,1.56902e-07,9.93255e-08,5.77266e-08,3.68647e-08,2.54688e-08
1.55011e-02,1.00934e-02,5.90935e-03,3.91700e-03,2.52692e-03,1.63008e-03,1.17307e-03,9.00078e-04,6.54941e-04,4.49977e-04,3.24863e-04,2.42575e-04,1.65940e-04,1.04282e-04,6.91515e-05,4.83117e-05,2.99247e-05,1.73431e-05,1.09221e-05,7.30603e-06,4.28471e-06,2.38882e-06,1.47807e-06,9.65723e-07,5.80437e-07,3.25524e-07,2.00707e-07,1.33981e-07,8.38680e-08,4.82614e-08,3.06714e-08,2.11853e-08
1.75080e-02,1.20746e-02,5.87664e-03,3.28084e-03,1.81886e-03,1.05137e-03,7.17226e-04,5.34929e-04,3.81923e-04,2.59953e-04,1.87621e-04,1.40282e-04,9.62048e-05,6.07531e-05,4.05585e-05,2.85732e-05,1.79757e-05,1.06811e-05,6.91927e-06,4.77097e-06,2.93947e-06,1.74593e-06,1.14329e-06,7.89061e-07,5.05985e-07,3.02579e-07,1.96839e-07,1.36713e-07,8.84050e-08,5.25846e-08,3.41363e-08,2.38135e-08
1.73153e-02,1.12055e-02,5.44319e-03,3.19110e-03,1.91595e-03,1.18860e-03,8.40731e-04,6.38384e-04,4.59457e-04,3.11235e-04,2.21861e-04,1.63904e-04,1.10776e-04,6.87981e-05,4.52784e-05,3.15438e-05,1.95914e-05,1.14850e-05,7.37541e-06,5.05772e-06,3.09396e-06,1.82561e-06,1.19067e-06,8.18970e-07,5.23361e-07,3.12099e-07,2.02533e-07,1.40364e-07,9.05446e-08,5.37087e-08,3.48023e-08,2.42535e-08
1.75954e-02,1.14010e-02,5.43839e-03,3.11063e-03,1.81562e-03,1.10382e-03,7.74253e-04,5.86027e-04,4.21819e-04,2.86937e-04,2.05740e-04,1.52801e-04,1.03918e-04,6.49861e-05,4.30230e-05,3.01119e-05,1.88023e-05,1.10852e-05,7.14539e-06,4.91181e-06,3.01437e-06,1.78415e-06,1.16595e-06,8.03338e-07,5.14271e-07,3.07125e-07,1.99561e-07,1.38459e-07,8.94264e-08,5.31200e-08,3.44530e-08,2.40227e-08
1.78174e-02,1.16177e-02,5.57377e-03,3.13673e-03,1.77446e-03,1.05276e-03,7.31541e-04,5.51547e-04,3.95516e-04,2.66979e-04,1.89764e-04,1.39859e-04,9.42769e-05,5.84176e-05,3.84089e-05,2.67679e-05,1.66647e-05,9.81457e-06,6.33889e-06,4.37406e-06,2.70153e-06,1.61211e-06,1.06116e-06,7.36071e-07,4.74864e-07,2.85774e-07,1.86873e-07,1.30287e-07,8.45355e-08,5.04836e-08,3.28804e-08,2.29939e-08
1.78173e-02,1.16171e-02,5.57163e-03,3.13183e-03,1.76396e-03,1.03456e-03,7.09012e-04,5.28502e-04,3.76638e-04,2.56928e-04,1.86623e-04,1.40718e-04,9.78859e-05,6.30474e-05,4.27545e-05,3.04406e-05,1.93425e-05,1.15994e-05,7.54790e-06,5.20968e-06,3.20584e-06,1.89253e-06,1.22924e-06,8.42283e-07,5.36242e-07,3.18848e-07,2.06347e-07,1.42635e-07,9.17306e-08,5.42542e-08,3.51199e-08,2.44831e-08
