,sensitivity,confidence
$\mathrm{thk}_{1}$,1.9564944811196496,1.083012550366081
$\mathrm{thk}_{2}$,1.6821698543549597,1.0042062063657156
$\mathrm{thk}_{3}$,1.7024706854617278,1.0314928923823867
$\mathrm{thk}_{4}$,1.9824777369958468,1.1259063841171788
$\mathrm{thk}_{5}$,1.96074549761367,1.1029889007627434
$\mathrm{thk}_{6}$,1.935371908690214,1.0641044113830693
$\mathrm{thk}_{7}$,1.8437768277342688,1.032589341073846
$\rho_{1}$,1.9743291011605948,1.1399121193754411
$\rho_{2}$,1.904878947027509,1.0416091599197261
$\rho_{3}$,1.756991301090025,1.0626184415772302
$\rho_{4}$,1.9745757099670076,1.0975332073739632
$\rho_{5}$,1.9602684061854005,1.1129136729861777
$\rho_{6}$,1.9284182529119385,1.0770966379904505
$\rho_{7}$,1.677523149079469,1.0006313944492469
$\rho_{8}$,1.9730107148338454,1.1061043119381662
