X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
10.29,3026.908,3.975,300.0,0.0,1e-06,0.072
10.29,3026.908,2.802,3311.331,0.6,2.2e-05,0.876
10.29,3026.908,2.675,3244.175,0.5,3.8e-05,0.75
10.29,3026.908,2.669,3045.976,0.6,7e-05,0.675
10.29,3026.908,5.0,2334.907,0.7,0.00011,0.665
10.29,3026.908,0.0,337.1,0.0,1e-06,0.028
