X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
10.000,0.000,0.000,3.975,300.000,0.0,1.0e-06,0.072
10.000,0.000,0.000,2.802,3311.331,0.6,2.2e-05,0.876
10.000,0.000,0.000,2.675,3244.175,0.5,3.8e-05,0.750
10.000,0.000,0.000,2.669,3045.976,0.6,7.0e-05,0.675
10.000,0.000,0.000,5.000,2334.907,0.7,1.1e-04,0.665
10.000,0.000,0.000,0.000,337.100,0.0,1.0e-06,0.028
