X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
10.29,3026.908,4.01,300.0,0.0,1e-06,0.071
10.29,3026.908,2.787,3363.053,0.5,2.2e-05,0.861
10.29,3026.908,2.684,3264.643,0.5,3.8e-05,0.745
10.29,3026.908,2.683,3056.331,0.6,7.1e-05,0.675
10.29,3026.908,5.0,2320.616,0.8,0.0001,0.676
10.29,3026.908,0.0,336.999,0.0,1e-06,0.03
