time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
1.255000e-05,5.315364321e-05,7.813960000e-05,5.330280000e-08,1.093954400e-05,3.213837983e+02,2.487000000e+02
1.456000e-05,1.895515829e-05,3.823560000e-05,4.817720000e-08,5.352984000e-06,4.989208400e+02,3.126300000e+02
1.744000e-05,1.485705118e-06,9.828080000e-06,4.723120000e-08,1.375931200e-06,2.016444778e+03,5.722800000e+02
2.146000e-05,-3.738314430e-06,-3.469240000e-06,4.162400000e-08,4.856936000e-07,-7.714103579e+02,-8.106700000e+02
2.549000e-05,-4.250560777e-06,-5.641600000e-06,3.347120000e-08,7.898240000e-07,-5.315429154e+02,-4.401600000e+02
2.950000e-05,-3.661358051e-06,-4.982840000e-06,2.557640000e-08,6.975976000e-07,-4.602432056e+02,-3.746900000e+02
3.528000e-05,-2.564549835e-06,-3.240480000e-06,1.738920000e-08,4.536672000e-07,-4.330757081e+02,-3.705800000e+02
4.330000e-05,-1.482553534e-06,-1.640536000e-06,1.055048000e-08,2.296750400e-07,-4.435733680e+02,-4.146100000e+02
5.140000e-05,-8.858027261e-07,-8.553560000e-07,8.572480000e-09,1.197498400e-07,-4.698461510e+02,-4.808900000e+02
5.941000e-05,-5.474246180e-07,-4.659480000e-07,8.054760000e-09,6.523272000e-08,-5.087097680e+02,-5.664400000e+02
7.095000e-05,-2.735787276e-07,-2.026160000e-07,6.259080000e-09,2.836624000e-08,-6.009107825e+02,-7.340700000e+02
8.707000e-05,-1.154501680e-07,-6.536000000e-08,5.963240000e-09,9.150400000e-09,-7.592910137e+02,-1.109300000e+03
1.031600e-04,-5.055979998e-08,-4.078120000e-08,6.247040000e-09,5.709368000e-09,-9.924982726e+02,-1.145230000e+03
1.192200e-04,-2.097508265e-08,-2.053680000e-08,6.066440000e-09,2.875152000e-09,-1.401956581e+03,-1.422000000e+03
