time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
1.255000e-05,5.382582824e-05,7.813960000e-05,5.330280000e-08,8.595356000e-06,3.187025387e+02,2.487000000e+02
1.456000e-05,1.903099470e-05,3.823560000e-05,4.817720000e-08,4.205916000e-06,4.975945285e+02,3.126300000e+02
1.744000e-05,1.349226726e-06,9.828080000e-06,4.723120000e-08,1.081088800e-06,2.150229367e+03,5.722800000e+02
2.146000e-05,-3.858715333e-06,-3.469240000e-06,4.162400000e-08,3.816164000e-07,-7.552791982e+02,-8.106700000e+02
2.549000e-05,-4.332515081e-06,-5.641600000e-06,3.347120000e-08,6.205760000e-07,-5.248184556e+02,-4.401600000e+02
2.950000e-05,-3.714566247e-06,-4.982840000e-06,2.557640000e-08,5.481124000e-07,-4.558375679e+02,-3.746900000e+02
3.528000e-05,-2.592221572e-06,-3.240480000e-06,1.738920000e-08,3.564528000e-07,-4.299881685e+02,-3.705800000e+02
4.330000e-05,-1.494344645e-06,-1.640536000e-06,1.055048000e-08,1.804589600e-07,-4.412369478e+02,-4.146100000e+02
5.140000e-05,-8.920741052e-07,-8.553560000e-07,8.572480000e-09,9.408916000e-08,-4.676415161e+02,-4.808900000e+02
5.941000e-05,-5.512952314e-07,-4.659480000e-07,8.054760000e-09,5.125428000e-08,-5.063258909e+02,-5.664400000e+02
7.095000e-05,-2.755842666e-07,-2.026160000e-07,6.259080000e-09,2.228776000e-08,-5.979918533e+02,-7.340700000e+02
8.707000e-05,-1.163862866e-07,-6.536000000e-08,5.963240000e-09,7.189600000e-09,-7.552141145e+02,-1.109300000e+03
1.031600e-04,-5.103249703e-08,-4.078120000e-08,6.247040000e-09,4.485932000e-09,-9.863599843e+02,-1.145230000e+03
1.192200e-04,-2.121359622e-08,-2.053680000e-08,6.066440000e-09,2.259048000e-09,-1.391428257e+03,-1.422000000e+03
