X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
10.000,0.000,0.000,3.962,300.000,0.0,1.0e-06,0.072
10.000,0.000,0.000,2.808,3283.539,0.6,2.1e-05,0.883
10.000,0.000,0.000,2.670,3231.336,0.5,3.7e-05,0.752
10.000,0.000,0.000,2.663,3036.095,0.6,7.1e-05,0.676
10.000,0.000,0.000,5.000,2333.847,0.7,1.1e-04,0.662
10.000,0.000,0.000,0.000,336.337,0.0,1.0e-06,0.028
