time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,9.041262023e-04,8.525376000e-04,1.252435200e-06,5.967763200e-05,3.358019315e+01,3.496000000e+01
6.070000e-06,5.720559996e-04,5.232256000e-04,7.523008000e-07,3.662579200e-05,3.375273561e+01,3.582000000e+01
7.080000e-06,3.943762413e-04,3.749696000e-04,6.111296000e-07,2.624787200e-05,3.346467158e+01,3.464000000e+01
8.520000e-06,2.609890197e-04,2.574931200e-04,3.747072000e-07,1.802451840e-05,3.236694256e+01,3.267000000e+01
1.053000e-05,1.665052947e-04,1.727379200e-04,2.736832000e-07,1.209165440e-05,3.068432036e+01,2.995000000e+01
1.255000e-05,1.163649882e-04,1.239052800e-04,2.357401600e-07,8.673369600e-06,2.908225398e+01,2.790000000e+01
1.456000e-05,8.657032412e-05,9.338816000e-05,1.527955200e-07,6.537171200e-06,2.765248541e+01,2.630000000e+01
1.744000e-05,6.041044723e-05,6.468160000e-05,1.082400000e-07,4.527712000e-06,2.601738583e+01,2.486000000e+01
2.146000e-05,3.967419574e-05,4.185280000e-05,8.514880000e-08,2.929696000e-06,2.437029999e+01,2.351000000e+01
2.549000e-05,2.772586952e-05,2.894272000e-05,7.470528000e-08,2.025990400e-06,2.322964912e+01,2.258000000e+01
2.950000e-05,2.029304746e-05,2.077945600e-05,6.392064000e-08,1.454561920e-06,2.242062002e+01,2.207000000e+01
3.528000e-05,1.369847563e-05,1.382323200e-05,3.891392000e-08,9.676262400e-07,2.162320359e+01,2.150000000e+01
4.330000e-05,8.622500979e-06,8.604096000e-06,3.867776000e-08,6.022867200e-07,2.092572420e+01,2.096000000e+01
5.140000e-05,5.801602289e-06,5.720320000e-06,3.321984000e-08,4.004224000e-07,2.047758127e+01,2.067000000e+01
5.941000e-05,4.119011587e-06,3.998976000e-06,3.272128000e-08,2.799283200e-07,2.021255569e+01,2.062000000e+01
7.095000e-05,2.621505959e-06,2.531110400e-06,1.699827200e-08,1.771777280e-07,2.032175728e+01,2.080000000e+01
8.707000e-05,1.575031783e-06,1.522182400e-06,1.608512000e-08,1.065527680e-07,2.028968808e+01,2.076000000e+01
1.031600e-04,1.008961174e-06,9.601216000e-07,1.764377600e-08,6.720851200e-08,2.058167110e+01,2.128000000e+01
1.192200e-04,6.748593764e-07,6.691200000e-07,1.566528000e-08,4.683840000e-08,2.114422504e+01,2.127000000e+01
1.423300e-04,3.904499940e-07,4.203648000e-07,1.059833600e-08,2.942553600e-08,2.266616938e+01,2.158000000e+01
1.745400e-04,2.017465038e-07,2.537145600e-07,9.181376000e-09,1.776001920e-08,2.505456469e+01,2.150000000e+01
