X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
36.329,404.487,7.937,41.158,0.0,1e-06,0.1
36.329,404.487,7.549,43.763,0.2,9.9e-05,0.554
36.329,404.487,7.907,25.305,0.3,0.0001,0.459
36.329,404.487,7.915,25.713,0.3,0.00011,0.479
36.329,404.487,8.003,22.453,0.3,0.00011,0.46
36.329,404.487,0.0,23.854,0.4,0.0001,0.467
