X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
36.329,404.487,7.469,39.914,0.0,1e-06,0.1
36.329,404.487,7.833,47.49,0.2,9.7e-05,0.552
36.329,404.487,7.959,25.603,0.3,0.0001,0.467
36.329,404.487,7.971,24.965,0.3,0.00011,0.475
36.329,404.487,8.024,23.135,0.3,0.00011,0.464
36.329,404.487,0.0,25.144,0.4,0.0001,0.475
