time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,8.450220912e-04,8.525376000e-04,1.252435200e-06,2.557612800e-05,3.512830421e+01,3.496000000e+01
6.070000e-06,5.482082903e-04,5.232256000e-04,7.523008000e-07,1.569676800e-05,3.472462849e+01,3.582000000e+01
7.080000e-06,3.849970022e-04,3.749696000e-04,6.111296000e-07,1.124908800e-05,3.400599587e+01,3.464000000e+01
8.520000e-06,2.590842578e-04,2.574931200e-04,3.747072000e-07,7.724793600e-06,3.252538786e+01,3.267000000e+01
1.053000e-05,1.683663236e-04,1.727379200e-04,2.736832000e-07,5.182137600e-06,3.045778999e+01,2.995000000e+01
1.255000e-05,1.194332182e-04,1.239052800e-04,2.357401600e-07,3.717158400e-06,2.858201611e+01,2.790000000e+01
1.456000e-05,8.985409631e-05,9.338816000e-05,1.527955200e-07,2.801644800e-06,2.697459588e+01,2.630000000e+01
1.744000e-05,6.337176628e-05,6.468160000e-05,1.082400000e-07,1.940448000e-06,2.520042220e+01,2.486000000e+01
2.146000e-05,4.184315073e-05,4.185280000e-05,8.514880000e-08,1.255584000e-06,2.352068923e+01,2.351000000e+01
2.549000e-05,2.914094377e-05,2.894272000e-05,7.470528000e-08,8.682816000e-07,2.247141178e+01,2.258000000e+01
2.950000e-05,2.114182296e-05,2.077945600e-05,6.392064000e-08,6.233836800e-07,2.181645477e+01,2.207000000e+01
3.528000e-05,1.402944180e-05,1.382323200e-05,3.891392000e-08,4.146969600e-07,2.128177940e+01,2.150000000e+01
4.330000e-05,8.609235612e-06,8.604096000e-06,3.867776000e-08,2.581228800e-07,2.094721400e+01,2.096000000e+01
5.140000e-05,5.667150443e-06,5.720320000e-06,3.321984000e-08,1.716096000e-07,2.080019787e+01,2.067000000e+01
5.941000e-05,3.962448069e-06,3.998976000e-06,3.272128000e-08,1.199692800e-07,2.074153289e+01,2.062000000e+01
7.095000e-05,2.497199127e-06,2.531110400e-06,1.699827200e-08,7.593331200e-08,2.099067365e+01,2.080000000e+01
8.707000e-05,1.511194602e-06,1.522182400e-06,1.608512000e-08,4.566547200e-08,2.085713518e+01,2.076000000e+01
1.031600e-04,9.907439389e-07,9.601216000e-07,1.764377600e-08,2.880364800e-08,2.083320020e+01,2.128000000e+01
1.192200e-04,6.845785245e-07,6.691200000e-07,1.566528000e-08,2.007360000e-08,2.094362160e+01,2.127000000e+01
1.423300e-04,4.201968744e-07,4.203648000e-07,1.059833600e-08,1.261094400e-08,2.158340028e+01,2.158000000e+01
1.745400e-04,2.374749904e-07,2.537145600e-07,9.181376000e-09,9.181376000e-09,2.247392638e+01,2.150000000e+01
