X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
37.500,0.000,0.000,8.736,43.785,0.0,1.0e-06,0.100
37.500,0.000,0.000,7.224,36.215,0.2,1.0e-04,0.556
37.500,0.000,0.000,7.805,25.629,0.3,9.9e-05,0.452
37.500,0.000,0.000,7.831,26.604,0.3,1.0e-04,0.485
37.500,0.000,0.000,7.979,21.949,0.3,1.1e-04,0.456
37.500,0.000,0.000,0.000,23.018,0.4,1.1e-04,0.461
