X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
36.329,404.487,8.736,43.785,0.0,1e-06,0.1
36.329,404.487,7.224,36.215,0.2,0.0001,0.556
36.329,404.487,7.805,25.629,0.3,9.9e-05,0.452
36.329,404.487,7.831,26.604,0.3,0.0001,0.485
36.329,404.487,7.979,21.949,0.3,0.00011,0.456
36.329,404.487,0.0,23.018,0.4,0.00011,0.461
