X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,8.033,57.954,0.0,1.0e-06,0.100
0.000,0.000,0.000,8.274,67.415,0.2,9.2e-05,0.591
0.000,0.000,0.000,7.812,31.735,0.3,9.8e-05,0.497
0.000,0.000,0.000,7.876,28.010,0.3,1.0e-04,0.490
0.000,0.000,0.000,7.955,24.860,0.3,1.1e-04,0.476
0.000,0.000,0.000,0.000,24.124,0.4,1.0e-04,0.469
