X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,5.000,30.000,0.0,1.0e-06,0.100
0.000,0.000,0.000,8.000,30.000,0.3,1.0e-04,0.500
0.000,0.000,0.000,8.000,30.000,0.3,1.0e-04,0.500
0.000,0.000,0.000,8.000,30.000,0.3,1.0e-04,0.500
0.000,0.000,0.000,8.000,30.000,0.3,1.0e-04,0.500
0.000,0.000,0.000,0.000,30.000,0.3,1.0e-04,0.500
