X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,9.981,56.082,0.0,1.0e-06,0.100
0.000,0.000,0.000,8.039,59.202,0.2,9.6e-05,0.606
0.000,0.000,0.000,7.803,28.604,0.3,9.7e-05,0.476
0.000,0.000,0.000,7.809,29.245,0.3,1.0e-04,0.496
0.000,0.000,0.000,7.943,24.576,0.3,1.1e-04,0.473
0.000,0.000,0.000,0.000,21.552,0.4,1.1e-04,0.449
