X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
79.47,3004.33,3.851,300.0,0.0,1e-06,0.078
79.47,3004.33,2.797,3289.494,0.5,2.8e-05,0.848
79.47,3004.33,2.744,3163.795,0.6,4.4e-05,0.796
79.47,3004.33,2.738,2985.471,0.6,6.7e-05,0.758
79.47,3004.33,5.0,2233.348,0.8,9.3e-05,0.729
79.47,3004.33,0.0,335.805,0.0,1e-06,0.027
