X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
79.47,3004.33,3.809,300.0,0.0,1e-06,0.078
79.47,3004.33,2.789,3258.78,0.6,2.8e-05,0.85
79.47,3004.33,2.733,3143.641,0.6,4.4e-05,0.796
79.47,3004.33,2.727,2972.548,0.6,6.6e-05,0.757
79.47,3004.33,5.0,2248.465,0.8,9.5e-05,0.723
79.47,3004.33,0.0,336.144,0.0,1e-06,0.027
