X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
79.47,3004.33,3.797,300.0,0.0,1e-06,0.079
79.47,3004.33,2.786,3244.149,0.6,2.8e-05,0.85
79.47,3004.33,2.729,3133.131,0.6,4.3e-05,0.795
79.47,3004.33,2.723,2963.857,0.6,6.6e-05,0.756
79.47,3004.33,5.0,2243.759,0.8,9.6e-05,0.72
79.47,3004.33,0.0,335.705,0.0,1e-06,0.026
