X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
90.000,0.000,0.000,3.797,300.000,0.0,1.0e-06,0.079
90.000,0.000,0.000,2.786,3244.149,0.6,2.8e-05,0.850
90.000,0.000,0.000,2.729,3133.131,0.6,4.3e-05,0.795
90.000,0.000,0.000,2.723,2963.857,0.6,6.6e-05,0.756
90.000,0.000,0.000,5.000,2243.759,0.8,9.6e-05,0.720
90.000,0.000,0.000,0.000,335.705,0.0,1.0e-06,0.026
