time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
1.255000e-05,6.273701695e-05,7.860400000e-05,7.253240000e-08,3.930200000e-06,2.877597807e+02,2.477300000e+02
1.456000e-05,2.325069424e-05,3.677360000e-05,2.795000000e-08,1.838680000e-06,4.354042246e+02,3.208900000e+02
1.744000e-05,2.254905592e-06,7.069200000e-06,1.325604000e-08,3.534600000e-07,1.526824676e+03,7.128300000e+02
2.146000e-05,-5.176156600e-06,-6.677040000e-06,2.241160000e-08,3.338520000e-07,-6.209611257e+02,-5.238500000e+02
2.549000e-05,-5.997941884e-06,-7.512960000e-06,2.265240000e-09,3.756480000e-07,-4.225073990e+02,-3.636600000e+02
2.950000e-05,-5.202815530e-06,-7.146600000e-06,1.752680000e-08,3.573300000e-07,-3.641300898e+02,-2.946200000e+02
3.528000e-05,-3.731974242e-06,-3.801200000e-06,2.088080000e-09,1.900600000e-07,-3.372449804e+02,-3.331600000e+02
4.330000e-05,-2.260274641e-06,-2.449280000e-06,7.105320000e-09,1.224640000e-07,-3.348612632e+02,-3.173200000e+02
5.140000e-05,-1.366755245e-06,-1.293096000e-06,4.535640000e-09,6.465480000e-08,-3.518734634e+02,-3.650800000e+02
5.941000e-05,-8.434127946e-07,-7.026200000e-07,3.219840000e-09,3.513100000e-08,-3.813521239e+02,-4.307600000e+02
7.095000e-05,-4.181497203e-07,-3.243920000e-07,2.232560000e-09,1.621960000e-08,-4.528736023e+02,-5.363100000e+02
8.707000e-05,-1.732282193e-07,-1.305480000e-07,2.299640000e-09,6.527400000e-09,-5.793293688e+02,-6.995100000e+02
1.031600e-04,-6.993072338e-08,-5.187520000e-08,2.256640000e-09,2.593760000e-09,-7.995052328e+02,-9.755700000e+02
1.192200e-04,-2.401726228e-08,-2.936040000e-08,2.189560000e-09,1.468020000e-09,-1.280918064e+03,-1.120500000e+03
