,thk_00,thk_01,thk_02,thk_03,thk_04,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,rho0_05,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,max_pha_05,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,tau_phi_05,c_00,c_01,c_02,c_03,c_04,c_05
dB/dt tg01,6.927970129862515e-06,1.0808621936917044e-07,-1.0641907008233274e-07,-1.6570937195310721e-07,-1.9326684325034438e-06,-7.32694303066918e-08,1.7927013319877392e-10,-2.2270826315383273e-10,-9.419591495348588e-10,-6.491788990071422e-09,-3.207750168577243e-07,0.00018394179006324672,-2.2849574841717586e-05,-2.1404929345216533e-05,-1.94557398789721e-05,-0.00019378585549640183,0.0059724769355285505,0.13623208913009274,0.15875165349456105,0.1485488933346279,0.1462557335922102,0.7834891084197927,0.6904266048657535,-4.19511925748735e-05,2.4905892666015948e-05,2.803067333816468e-05,3.167788526789907e-05,0.0002566961472713827,-0.002264700127291287
dB/dt tg02,5.788025003594644e-06,1.3094272706297118e-06,9.193623109705339e-07,5.014287633780885e-07,-4.14461076984656e-06,-3.9758690775157245e-08,6.493252614554297e-10,5.325391903241325e-10,3.343388728565394e-10,4.803561317713512e-09,-2.3064038606226772e-07,7.478976582946025e-05,-2.3437800522695214e-05,-2.504824852039579e-05,-2.9060081208715065e-05,-0.0002928540393193491,0.00427600086601169,0.07183536545013085,0.1182662389331868,0.11117482125602138,0.10946606978910453,0.5500358638051733,0.49721128945223153,-2.2721175608315166e-05,2.0306932389983863e-05,2.488140922894815e-05,3.197599583687932e-05,0.0002787663879133994,-0.0016297696405323519
dB/dt tg03,4.302387496137158e-06,1.5328553255623136e-06,1.1126462395169354e-06,5.856774437764559e-07,-4.5905105164374035e-06,-1.850189554294837e-08,7.938357961979813e-10,8.307308393669845e-10,9.091202480343266e-10,9.303789335238034e-09,-1.505246170714939e-07,1.4420735932039202e-05,-2.0125377870252088e-05,-2.2814587829327222e-05,-2.8729856056993273e-05,-0.00027570524131546534,0.0027766294815627455,0.03164231574535726,0.0771974879178484,0.07283009849156337,0.07138329911364646,0.3171316604860319,0.325062004609368,-1.0531722682083692e-05,1.4099221253580818e-05,1.8473024562931154e-05,2.569254970165082e-05,0.00022761790996603284,-0.0010647097244229505
dB/dt tg04,2.8272803692684356e-06,1.1683254419486711e-06,8.194017861397234e-07,3.6248442426632755e-07,-3.7585781046377676e-06,-7.689535000499465e-09,6.976240082104781e-10,7.807983512938206e-10,9.374862033013815e-10,8.713321351034903e-09,-8.942056404936816e-08,-8.018302253360192e-06,-1.4605274949290898e-05,-1.6964593928645643e-05,-2.1955204937292362e-05,-0.0001912674962777655,0.0016398815306839982,0.011837003874177333,0.04161702127963912,0.03946747731119389,0.038325125881071495,0.13094373776300106,0.19345319879246792,-4.341422523123658e-06,7.980451354917408e-06,1.115404917099039e-05,1.6454818107474217e-05,0.00014280602088820188,-0.0006331908222446368
dB/dt tg05,1.9216223853331615e-06,8.351660274863832e-07,5.625586424850632e-07,2.0209613010049578e-07,-2.827543534763746e-06,-3.4558697058006196e-09,5.601397109894391e-10,6.417521379881831e-10,7.913421018509248e-10,6.88474282582343e-09,-5.7271260664417435e-08,-1.306308798025404e-05,-1.0400993988927439e-05,-1.2183581449514638e-05,-1.5872847314363993e-05,-0.000125059888627451,0.0010449272483058025,0.004397107189168067,0.02116705425549952,0.020346046167541505,0.019635442238132565,0.03999590987428467,0.12407810514378287,-1.9238203971276465e-06,4.420625446578283e-06,6.60018807022898e-06,1.0240694487058861e-05,8.629999375333561e-05,-0.0004059081583289384
dB/dt tg06,1.3497578064101761e-06,5.935127358220868e-07,3.8270719161538325e-07,1.0410726239202283e-07,-2.088843577458094e-06,-1.6397906052383278e-09,4.3972882351688975e-10,5.091476252357305e-10,6.34047920793322e-10,5.211238970056611e-09,-3.8968673817552344e-08,-1.3043144701618669e-05,-7.431262432197747e-06,-8.728173931593302e-06,-1.1369205879462606e-05,-8.105284796218289e-05,0.0007077359119632646,0.0013959252015513781,0.009348322620215725,0.009321739306789216,0.009006749881891808,-0.003156185418195574,0.08452157059462143,-8.909826349482391e-07,2.38155939835211e-06,3.858588528937236e-06,6.323590752444737e-06,5.168198892826665e-05,-0.00027639881803051715
dB/dt tg07,8.475401682687119e-07,3.648305881853724e-07,2.1857372458901243e-07,2.659909870469452e-08,-1.3548338922297616e-06,-6.254265559205348e-10,3.080571517137534e-10,3.592720304068539e-10,4.4944413798305034e-10,3.4355010732271326e-09,-2.4175056556256672e-08,-1.0731575034390765e-05,-4.634655752733102e-06,-5.443332460256212e-06,-7.060853343020819e-06,-4.386050240116482e-05,0.00043642615189605315,-7.575437770031175e-05,0.0004852470049430547,0.0010544362219367417,0.0011543693396236809,-0.026591962404990826,0.052500042213805186,-3.1897955647836376e-07,8.713541972885783e-07,1.7052766786529016e-06,3.1041432487268773e-06,2.442871113539985e-05,-0.0001716233667387804
dB/dt tg08,4.776111158403798e-07,1.938251990269335e-07,1.0295834939903268e-07,-1.4905763583316957e-08,-7.681431789814467e-07,-2.0931375367450252e-10,1.9127149335740004e-10,2.2419739067500478e-10,2.806836133539699e-10,1.962542499978273e-09,-1.4007373735944754e-08,-7.578536953304381e-06,-2.4863276773949987e-06,-2.913793775329496e-06,-3.7531523428916157e-06,-1.9476281163694938e-05,0.00025101361578755806,-0.0004741921612754926,-0.004148672729538946,-0.003316692041082828,-0.0029254316007298106,-0.030491289458668098,0.030452729191564498,-8.978152110990435e-08,8.095692646429321e-08,4.509131158725021e-07,1.0917043462614845e-06,8.403065530457799e-06,-9.953176381855816e-05
dB/dt tg09,2.882194038972213e-07,1.1124662839293048e-07,5.2308344128642306e-08,-2.3509524817563768e-08,-4.594434158097489e-07,-7.509725870088118e-11,1.2267911945099926e-10,1.4452956977986112e-10,1.8122924113269249e-10,1.178082869816958e-09,-8.945261036358987e-09,-5.4776070502572446e-06,-1.3907888054653637e-06,-1.6295918559580457e-06,-2.0934269139153612e-06,-9.415217155529212e-06,0.0001592479732150819,-0.0004934784266679844,-0.005102320124739853,-0.004295020186160456,-0.0038223653740326606,-0.025181278255597385,0.019458987995852176,-1.923283282998122e-08,-1.1167101667700456e-07,4.6575217786038255e-08,3.4638988730649314e-07,2.9435496658094996e-06,-6.360244009435516e-05
dB/dt tg10,1.8496858966192267e-07,6.863196472998831e-08,2.8687037986551012e-08,-2.2450747101152852e-08,-2.907436994789157e-07,-3.0726466443439366e-11,8.168411856227103e-11,9.677259531626092e-11,1.2169287235650518e-10,7.460640323694053e-10,-6.177372502638281e-09,-4.094405772532637e-06,-8.152561918991173e-07,-9.568154105476268e-07,-1.2308248113242519e-06,-5.012476110628907e-06,0.00010934408913577727,-0.0004280862838997063,-0.004784396542903898,-0.004095047026496939,-0.0036429476648944326,-0.019151097020074018,0.01344074762290544,1.730439183434875e-09,-1.174755853140085e-07,-5.631486045697059e-08,8.560945395117029e-08,1.1440919555963672e-06,-4.394030537604267e-05
