time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
1.255000e-05,7.369037908e-05,7.373640000e-05,2.488840000e-08,5.898912000e-06,2.584870618e+02,2.585300000e+02
1.456000e-05,2.853286740e-05,3.273160000e-05,4.506400000e-08,2.618528000e-06,3.798565707e+02,3.468200000e+02
1.744000e-05,3.325128017e-06,4.150360000e-06,5.547000000e-08,3.320288000e-07,1.178516948e+03,1.016830000e+03
2.146000e-05,-5.618306936e-06,-7.712480000e-06,1.726880000e-08,6.169984000e-07,-5.879391448e+02,-4.758400000e+02
2.549000e-05,-6.838434029e-06,-7.500920000e-06,1.725160000e-09,6.000736000e-07,-3.871370294e+02,-3.640500000e+02
2.950000e-05,-6.058978663e-06,-7.621320000e-06,1.369292000e-08,6.097056000e-07,-3.289646547e+02,-2.822400000e+02
3.528000e-05,-4.370806100e-06,-3.789160000e-06,1.656360000e-09,3.031328000e-07,-3.035266945e+02,-3.338800000e+02
4.330000e-05,-2.550306923e-06,-2.681480000e-06,1.002932000e-08,2.145184000e-07,-3.089660446e+02,-2.988100000e+02
5.140000e-05,-1.483981788e-06,-1.412292000e-06,5.615800000e-09,1.129833600e-07,-3.330897750e+02,-3.442500000e+02
5.941000e-05,-8.705746347e-07,-7.683240000e-07,3.565560000e-09,6.146592000e-08,-3.733781962e+02,-4.058600000e+02
7.095000e-05,-3.839545837e-07,-3.458920000e-07,2.289320000e-09,2.767136000e-08,-4.793782320e+02,-5.138900000e+02
8.707000e-05,-1.162121373e-07,-1.274176000e-07,1.850720000e-09,1.019340800e-08,-7.559684084e+02,-7.108800000e+02
