X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
100.02,2998.511,3.697,300.0,0.0,1e-06,0.082
100.02,2998.511,2.752,3265.181,0.5,3.9e-05,0.82
100.02,2998.511,2.746,3122.116,0.6,4.6e-05,0.813
100.02,2998.511,2.761,2947.84,0.7,5.7e-05,0.798
100.02,2998.511,5.0,2082.186,0.9,7.4e-05,0.793
100.02,2998.511,0.0,333.259,0.0,1e-06,0.024
