,thk_00,thk_01,thk_02,thk_03,thk_04,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,rho0_05,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,max_pha_05,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,tau_phi_05,c_00,c_01,c_02,c_03,c_04,c_05
dB/dt tg01,6.971117082497206e-06,2.5711381477838195e-07,-8.726007996367194e-08,-2.5766758323209314e-07,-1.9126266048005284e-06,-7.311702913148511e-08,8.926592231850435e-11,-1.851729543953055e-10,-8.618921812878138e-10,-6.775161151670125e-09,-3.246511295335438e-07,0.00017901092559283047,-2.037335639899496e-05,-2.2440818881683188e-05,-2.3588252979094546e-05,-0.00019453123429341533,0.006188067134980067,0.13575128133735348,0.13141435976724491,0.1490139421825778,0.16278023770360384,0.789376120019107,0.6994921107260015,-4.0591594939063554e-05,2.1773993101398347e-05,2.8610145750049378e-05,3.582001730272231e-05,0.00025944574022658307,-0.0023886464266867917
dB/dt tg02,5.839980086459227e-06,1.4984873986203307e-06,9.6216374899165e-07,3.98929526374975e-07,-4.180042803763717e-06,-3.967718377604432e-08,5.336862767931643e-10,5.620833543965319e-10,4.6563814186881674e-10,4.808097379648116e-09,-2.3351958079257876e-07,7.230906528850488e-05,-2.105983405295244e-05,-2.5823603112399893e-05,-3.3063110582181885e-05,-0.00029717872456692034,0.0044329038232057555,0.0715286312506126,0.09726985562813927,0.11066236683894631,0.12081502326642003,0.5544712081798578,0.5039473119738572,-2.1983792934290208e-05,1.7716866775374197e-05,2.5184156632252722e-05,3.549998070601219e-05,0.00028308957980014966,-0.001719612672284263
dB/dt tg03,4.345596255385639e-06,1.7129956378777837e-06,1.1591328280602098e-06,4.926791573174301e-07,-4.648107438519645e-06,-1.8462362187135988e-08,6.788912639994821e-10,8.494629763590723e-10,1.0428300097186188e-09,9.44296530540681e-09,-1.524331697021371e-07,1.3424437220857411e-05,-1.8155942805868384e-05,-2.3283724923126627e-05,-3.187473094976774e-05,-0.00028071755811078723,0.002879687496904378,0.031455348655036436,0.06329795686403036,0.07175983279770624,0.07770458008218267,0.3199615847173906,0.329537052963597,-1.0187333472245834e-05,1.229773936765406e-05,1.855021732642101e-05,2.813284387489054e-05,0.0002317323824410696,-0.0011235964906452299
dB/dt tg04,2.854300424415678e-06,1.3075854661337306e-06,8.568725893502333e-07,2.929023382988829e-07,-3.8119076965268793e-06,-7.671715458438308e-09,6.035125100548862e-10,7.893574870083675e-10,1.0410288074520487e-09,8.866601494470704e-09,-9.054598469125896e-08,-8.31578247003203e-06,-1.3232184273873995e-05,-1.7172428439038212e-05,-2.3936185795411726e-05,-0.00019506520855399516,0.0017010058030521085,0.011726615003894176,0.03435071015263802,0.03833080309619968,0.040681758141342325,0.13238059150933426,0.19610442884290466,-4.197174900795536e-06,6.996408527402315e-06,1.1106355630847314e-05,1.7757885272857356e-05,0.0001456707427156228,-0.0006681346196169517
dB/dt tg05,1.9385675351464567e-06,9.383671908905752e-07,5.912519337704027e-07,1.5274955366231182e-07,-2.8695902575714408e-06,-3.4489332113100027e-09,4.875403456470441e-10,6.449859675266343e-10,8.664579778026654e-10,7.0118047618109215e-09,-5.7983410739578595e-08,-1.3107171541229956e-05,-9.48648854987697e-06,-1.226731909786811e-05,-1.7085062139586533e-05,-0.00012764751792791415,0.0010839448965523513,0.00432878211833253,0.01788581452820873,0.019420436066322048,0.0200606452417206,0.040695378209444605,0.1257634669487681,-1.8593397645851477e-06,3.928928027996867e-06,6.530775854966498e-06,1.0903899564124144e-05,8.817194853635223e-05,-0.0004282372568462607
dB/dt tg06,1.360701751324148e-06,6.693574796502591e-07,4.0449683379744473e-07,6.961910568771265e-08,-2.1207213624026533e-06,-1.6383263886078022e-09,3.8475370640672005e-10,5.097293202540622e-10,6.877918654303771e-10,5.309661144450312e-09,-3.944773014169628e-08,-1.2993803662028631e-05,-6.837935440190149e-06,-8.755475039334344e-06,-1.2104516204165145e-05,-8.277475687582942e-05,0.0007341984852031225,0.001351625176920324,0.00838806692275746,0.008644202103110184,0.008532603027908061,-0.0028494557017877137,0.08565996631450931,-8.612151066392428e-07,2.169469348034034e-06,3.800154025968738e-06,6.641770103911787e-06,5.2887454754406126e-05,-0.00029155843770300863
dB/dt tg07,8.536691821494067e-07,4.13381206554701e-07,2.3319232244459988e-07,6.112856948679701e-09,-1.3761037113454135e-06,-6.269504927716044e-10,2.7167918516310603e-10,3.583208640994366e-10,4.826126659187552e-10,3.501880167904717e-09,-2.4468385886329755e-08,-1.0650423555802671e-05,-4.332666058178702e-06,-5.441403234518804e-06,-7.412576673990951e-06,-4.482343545996541e-05,0.0004527806891450104,-0.00010210666426827979,0.001206556353054714,0.0006730028090001649,0.00023194663256330308,-0.026556158494997834,0.05320063953844669,-3.0861215378760616e-07,8.524108578647134e-07,1.6726811950325082e-06,3.1908789018637837e-06,2.5064914308391824e-05,-0.0001810045592800317
dB/dt tg08,4.807450676980877e-07,2.2021716613630408e-07,1.1149428053631296e-07,-2.486315293701402e-08,-7.806269622304338e-07,-2.1162291934220527e-10,1.7084021775540113e-10,2.229066464645761e-10,2.980238041810912e-10,2.001482732644977e-09,-1.4175944249540847e-08,-7.5060705783359746e-06,-2.388442703053954e-06,-2.906796094759856e-06,-3.87100646923724e-06,-1.9923358593611303e-05,0.0002604664625414186,-0.0004894038123199913,-0.0026858773900762375,-0.003443334404647511,-0.0038430728048320516,-0.030584774299745755,0.030857405904746744,-8.718067603222178e-08,1.4025072269770326e-07,4.445981600705626e-07,1.0794928953057691e-06,8.665440116880324e-06,-0.00010496009163691515
dB/dt tg09,2.901642134731739e-07,1.2578899312463835e-07,5.742057490793751e-08,-2.836592992455136e-08,-4.6717045891116217e-07,-7.717215048308959e-11,1.1121158943157804e-10,1.4351697349431521e-10,1.906612502743838e-10,1.2020980885264507e-09,-9.05325556596883e-09,-5.4202247264615e-06,-1.3787805985432606e-06,-1.6270263121002332e-06,-2.126812168362988e-06,-9.641072596336474e-06,0.00016528960030079653,-0.0005036087868115996,-0.0036482234533983756,-0.004296866535673928,-0.004543147169590712,-0.025299702307541198,0.01971902595846575,-1.8897211578440062e-08,-5.509806065460837e-08,5.2511301503514235e-08,3.236492520214863e-07,3.0553290538342657e-06,-6.707286594593548e-05
dB/dt tg10,1.8637095249685145e-07,7.675864657071258e-08,3.1831880042297555e-08,-2.481246494773332e-08,-2.957965204575698e-07,-3.236590755576383e-11,7.52283344404288e-11,9.609580920836247e-11,1.270557002489986e-10,7.616832471914303e-10,-6.252555497811738e-09,-4.049993580001733e-06,-8.360493819193598e-07,-9.58315841903602e-07,-1.235038879191751e-06,-5.137468051742747e-06,0.00011352490859276928,-0.0004356386504033913,-0.003557428364509629,-0.004045056804140875,-0.0041704499979156725,-0.01926228890133113,0.013622085486824503,1.496001708734766e-09,-8.099562006835262e-08,-4.653570373475635e-08,7.187968532628678e-08,1.1940860822310696e-06,-4.6341937200496004e-05
