time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,9.221783906e-04,1.019424000e-03,1.635801600e-06,3.058272000e-05,3.314051600e+01,3.104000000e+01
6.070000e-06,5.398423258e-04,5.324096000e-04,8.213120000e-07,1.597228800e-05,3.508246113e+01,3.541000000e+01
7.080000e-06,3.458269100e-04,3.303616000e-04,6.476032000e-07,9.910848000e-06,3.652760575e+01,3.767000000e+01
8.520000e-06,2.112100576e-04,2.027564800e-04,3.091072000e-07,6.082694400e-06,3.727120533e+01,3.832000000e+01
1.053000e-05,1.255224631e-04,1.236166400e-04,2.101561600e-07,3.708499200e-06,3.704425843e+01,3.743000000e+01
1.255000e-05,8.496491332e-05,8.567360000e-05,1.726329600e-07,2.570208000e-06,3.586602143e+01,3.569000000e+01
1.456000e-05,6.292067240e-05,6.423552000e-05,1.514572800e-07,1.927065600e-06,3.420723444e+01,3.376000000e+01
1.744000e-05,4.465408774e-05,4.568384000e-05,7.137280000e-08,1.370515200e-06,3.182469209e+01,3.135000000e+01
2.146000e-05,3.070070372e-05,3.114688000e-05,8.727424000e-08,9.344064000e-07,2.891350508e+01,2.863000000e+01
2.549000e-05,2.268112831e-05,2.279731200e-05,5.932864000e-08,6.839193600e-07,2.655765122e+01,2.647000000e+01
2.950000e-05,1.754939362e-05,1.731577600e-05,6.914240000e-08,5.194732800e-07,2.470042292e+01,2.492000000e+01
3.528000e-05,1.273333102e-05,1.252960000e-05,4.744192000e-08,3.758880000e-07,2.270249099e+01,2.295000000e+01
4.330000e-05,8.696895245e-06,8.512256000e-06,3.245888000e-08,2.553676800e-07,2.080621934e+01,2.111000000e+01
5.140000e-05,6.249206850e-06,6.197888000e-06,2.776192000e-08,1.859366400e-07,1.948770488e+01,1.960000000e+01
5.941000e-05,4.708607940e-06,4.749440000e-06,3.844160000e-08,1.424832000e-07,1.848792702e+01,1.838000000e+01
7.095000e-05,3.281334755e-06,3.345600000e-06,2.032550400e-08,1.003680000e-07,1.749691440e+01,1.727000000e+01
8.707000e-05,2.255766074e-06,2.280518400e-06,1.703500800e-08,6.841555200e-08,1.596879741e+01,1.585000000e+01
1.031600e-04,1.670497697e-06,1.680934400e-06,1.546060800e-08,5.042803200e-08,1.470617340e+01,1.464000000e+01
1.192200e-04,1.293623002e-06,1.264768000e-06,1.649971200e-08,3.794304000e-08,1.370236327e+01,1.391000000e+01
1.423300e-04,9.218993318e-07,8.976704000e-07,9.868864000e-09,2.693011200e-08,1.278299866e+01,1.301000000e+01
1.745400e-04,6.122513493e-07,6.313344000e-07,1.073216000e-08,1.894003200e-08,1.195283816e+01,1.171000000e+01
