X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
25.241,406.296,6.522,61.549,0.0,1e-06,0.1
25.241,406.296,8.748,74.122,0.2,7.9e-05,0.594
25.241,406.296,8.278,44.747,0.2,8.9e-05,0.529
25.241,406.296,8.253,37.641,0.2,9.6e-05,0.519
25.241,406.296,8.097,30.412,0.3,0.0001,0.501
25.241,406.296,0.0,20.802,0.4,0.00011,0.444
