X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
25.000,0.000,0.000,6.522,61.549,0.0,1.0e-06,0.100
25.000,0.000,0.000,8.748,74.122,0.2,7.9e-05,0.594
25.000,0.000,0.000,8.278,44.747,0.2,8.9e-05,0.529
25.000,0.000,0.000,8.253,37.641,0.2,9.6e-05,0.519
25.000,0.000,0.000,8.097,30.412,0.3,1.0e-04,0.501
25.000,0.000,0.000,0.000,20.802,0.4,1.1e-04,0.444
