X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
10.29,3026.908,3.744,300.0,0.0,1e-06,0.081
10.29,3026.908,2.735,3292.044,0.5,3.4e-05,0.847
10.29,3026.908,2.704,3158.877,0.6,4.6e-05,0.826
10.29,3026.908,2.705,2988.165,0.6,6.2e-05,0.803
10.29,3026.908,5.0,2228.699,0.8,7.4e-05,0.757
10.29,3026.908,0.0,333.613,0.0,1e-06,0.024
