X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
10.000,0.000,0.000,3.744,300.000,0.0,1.0e-06,0.081
10.000,0.000,0.000,2.735,3292.044,0.5,3.4e-05,0.847
10.000,0.000,0.000,2.704,3158.877,0.6,4.6e-05,0.826
10.000,0.000,0.000,2.705,2988.165,0.6,6.2e-05,0.803
10.000,0.000,0.000,5.000,2228.699,0.8,7.4e-05,0.757
10.000,0.000,0.000,0.000,333.613,0.0,1.0e-06,0.024
