time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
1.255000e-05,6.708926695e-05,7.813960000e-05,5.330280000e-08,1.093954400e-05,2.751760545e+02,2.487000000e+02
1.456000e-05,2.688789122e-05,3.823560000e-05,4.817720000e-08,5.352984000e-06,3.951955936e+02,3.126300000e+02
1.744000e-05,4.072863783e-06,9.828080000e-06,4.723120000e-08,1.375931200e-06,1.029456869e+03,5.722800000e+02
2.146000e-05,-3.491804932e-06,-3.469240000e-06,4.162400000e-08,4.856936000e-07,-8.073020117e+02,-8.106700000e+02
2.549000e-05,-4.533235183e-06,-5.641600000e-06,3.347120000e-08,7.898240000e-07,-5.092100743e+02,-4.401600000e+02
2.950000e-05,-4.175836234e-06,-4.982840000e-06,2.557640000e-08,6.975976000e-07,-4.216187159e+02,-3.746900000e+02
3.528000e-05,-3.130917320e-06,-3.240480000e-06,1.738920000e-08,4.536672000e-07,-3.791317772e+02,-3.705800000e+02
4.330000e-05,-1.842116054e-06,-1.640536000e-06,1.055048000e-08,2.296750400e-07,-3.837906539e+02,-4.146100000e+02
5.140000e-05,-1.024066213e-06,-8.553560000e-07,8.572480000e-09,1.197498400e-07,-4.265418583e+02,-4.808900000e+02
5.941000e-05,-5.829700819e-07,-4.659480000e-07,8.054760000e-09,6.523272000e-08,-4.878153342e+02,-5.664400000e+02
7.095000e-05,-2.466465999e-07,-2.026160000e-07,6.259080000e-09,2.836624000e-08,-6.438946132e+02,-7.340700000e+02
8.707000e-05,-5.726708479e-08,-6.536000000e-08,5.963240000e-09,9.150400000e-09,-1.211717152e+03,-1.109300000e+03
