time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
1.255000e-05,6.833116746e-05,7.813960000e-05,5.330280000e-08,6.251168000e-06,2.718317054e+02,2.487000000e+02
1.456000e-05,2.716761465e-05,3.823560000e-05,4.817720000e-08,3.058848000e-06,3.924782396e+02,3.126300000e+02
1.744000e-05,3.939425655e-06,9.828080000e-06,4.723120000e-08,7.862464000e-07,1.052574408e+03,5.722800000e+02
2.146000e-05,-3.627582612e-06,-3.469240000e-06,4.162400000e-08,2.775392000e-07,-7.870297390e+02,-8.106700000e+02
2.549000e-05,-4.608961962e-06,-5.641600000e-06,3.347120000e-08,4.513280000e-07,-5.036170272e+02,-4.401600000e+02
2.950000e-05,-4.215299914e-06,-4.982840000e-06,2.557640000e-08,3.986272000e-07,-4.189831270e+02,-3.746900000e+02
3.528000e-05,-3.142599692e-06,-3.240480000e-06,1.738920000e-08,2.592384000e-07,-3.781915987e+02,-3.705800000e+02
4.330000e-05,-1.839418894e-06,-1.640536000e-06,1.055048000e-08,1.312428800e-07,-3.841657332e+02,-4.146100000e+02
5.140000e-05,-1.018934016e-06,-8.553560000e-07,8.572480000e-09,6.842848000e-08,-4.279729377e+02,-4.808900000e+02
5.941000e-05,-5.795244979e-07,-4.659480000e-07,8.054760000e-09,3.727584000e-08,-4.897469725e+02,-5.664400000e+02
7.095000e-05,-2.464512298e-07,-2.026160000e-07,6.259080000e-09,1.620928000e-08,-6.442348595e+02,-7.340700000e+02
8.707000e-05,-5.857512650e-08,-6.536000000e-08,5.963240000e-09,5.228800000e-09,-1.193610093e+03,-1.109300000e+03
