X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
10.29,3026.908,3.731,300.0,0.0,1e-06,0.082
10.29,3026.908,2.725,3287.345,0.5,3.4e-05,0.845
10.29,3026.908,2.707,3144.827,0.6,4.5e-05,0.826
10.29,3026.908,2.717,2962.225,0.7,6.1e-05,0.803
10.29,3026.908,5.0,2242.613,0.8,7.3e-05,0.756
10.29,3026.908,0.0,333.466,0.0,1e-06,0.024
