X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
152.024,404.211,6.83,20.44,0.0,1e-06,0.1
152.024,404.211,7.364,24.671,0.2,0.00011,0.491
152.024,404.211,9.196,14.098,0.4,0.00012,0.37
152.024,404.211,8.397,16.969,0.4,0.00011,0.395
152.024,404.211,8.041,24.635,0.3,0.0001,0.472
152.024,404.211,0.0,30.748,0.3,9.9e-05,0.503
