,thk_00,thk_01,thk_02,thk_03,thk_04,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,rho0_05,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,max_pha_05,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,tau_phi_05,c_00,c_01,c_02,c_03,c_04,c_05
dB/dt tg01,-8.345974523426471e-05,6.46525765836319e-05,5.8046160207680303e-11,8.800628905693136e-12,1.1088527694216404e-12,-0.00011752234201079019,-1.866715863946574e-05,3.0545635871045384e-06,-5.778833905613549e-12,-1.1203324939186216e-12,2.0425282990230347e-12,0.025981174882128696,0.0027798126451267194,-0.0004763477915387204,7.138041302582695e-10,1.6342677310900484e-10,2.6695602530754896e-10,0.16058002569894858,-0.0441299880719897,-0.06997661280274137,4.550411358791098e-07,1.492186504920368e-07,2.3059876098672445e-07,-3.1560941690012246e-05,-0.0009596798656936849,0.0004117369214336201,-7.604014117137496e-10,-1.6036793253358325e-10,-1.2903755075580175e-10
dB/dt tg02,-4.547692430624177e-05,5.874652288403784e-05,4.3756197338344744e-11,8.452357347492185e-12,1.1206996832755927e-12,-7.180979801090641e-05,-1.8117536518833575e-05,3.875787818111822e-06,-6.41309004618122e-12,-1.12354874649749e-12,2.039857496106168e-12,0.015057870066067175,0.00258005703659633,-0.0005849191295709274,7.757948782369848e-10,1.63156962001473e-10,2.669786443892711e-10,0.09742111568567903,0.07040591997990173,-0.09592966717122063,4.894508251349996e-07,1.4987994889013275e-07,2.3045936156172814e-07,-1.930032873104019e-05,-0.0008130655204786868,0.0005007081160226944,-7.948705331416418e-10,-1.5996923970595693e-10,-1.291315258967111e-10
dB/dt tg03,-2.664688465052845e-05,4.564312744870641e-05,2.4848521948692455e-11,7.992796328509045e-12,1.1367173266511794e-12,-4.650497034181616e-05,-1.529949333304528e-05,4.231077220067009e-06,-7.25458850067907e-12,-1.1280865120546589e-12,2.0369638553592697e-12,0.009220050577120548,0.002115043476944975,-0.0006197886433771369,8.580214232142656e-10,1.6283814732104792e-10,2.670516203908474e-10,0.06260963595069298,0.12270023310855138,-0.11149929649339808,5.35051006822401e-07,1.5078966609197374e-07,2.3030373159335195e-07,-1.250919153368172e-05,-0.0006219125038538375,0.0005272561670729818,-8.407056114292941e-10,-1.594786891853483e-10,-1.2925331388235427e-10
dB/dt tg04,-1.58503922436471e-05,2.667950414157644e-05,6.024219159097507e-11,8.833667038232713e-12,1.1037153252469443e-12,-2.717506314301859e-05,-1.0981513696113806e-05,4.199491609924004e-06,-5.659156520147631e-12,-1.1170178067973294e-12,2.0354994722833903e-12,0.004953162906863523,0.0014611600012210063,-0.0005924078448731575,7.015595546713946e-10,1.6297788457787733e-10,2.6642618787223035e-10,0.03616118540941494,0.1426872608915935,-0.11875699103991132,4.481498393411492e-07,1.4868616496529164e-07,2.3027630982852874e-07,-7.31666065878759e-06,-0.00039278308042824155,0.0005017919243309904,-7.5291071131693e-10,-1.6006163484254339e-10,-1.2905118966399343e-10
dB/dt tg05,-1.2856936383884253e-05,7.735748689753528e-06,7.728827215598122e-11,9.231907276919931e-12,1.0869053215934148e-12,-1.4046852363610702e-05,-6.660667426657592e-06,3.6144348331140446e-06,-4.881855142400407e-12,-1.1106220265813548e-12,2.0321082805300155e-12,0.0022100122731375064,0.0008368417104501288,-0.00048555013592041366,6.251116924297588e-10,1.6286159662525886e-10,2.6593664378227083e-10,0.018320023254520732,0.12749405375718242,-0.1106377333472402,4.05664399666645e-07,1.4752155039281973e-07,2.3015606418994037e-07,-3.7846248832681176e-06,-0.00020142567536024467,0.0004117365892608027,-7.097182998448862e-10,-1.6021462787458145e-10,-1.289626381572495e-10
dB/dt tg06,-1.2640631327921152e-05,-2.661553917591339e-06,-1.5370478478671384e-10,3.794264508007645e-12,1.28856729232864e-12,-7.86533696597642e-06,-4.096090218004519e-06,2.8922334274959317e-06,-1.4873554020956765e-11,-1.1725616072686593e-12,2.018382851893581e-12,0.001017463939187003,0.00048107070220287717,-0.0003705066208196987,1.595428761578477e-09,1.6041837245937025e-10,2.6829981778214397e-10,0.00999941008984469,0.1028430655604067,-0.09457414415223095,9.531288492481029e-07,1.5963713939464402e-07,2.293142956355172e-07,-2.118119765024666e-06,-0.0001040454021174279,0.00031653755205128786,-1.2488812997572226e-09,-1.55374467229728e-10,-1.3033758982461272e-10
dB/dt tg07,-1.2368398664600546e-05,-7.614978769328747e-06,-6.078740398940669e-11,6.899405807284326e-12,1.1705869132651477e-12,-4.7693197441759125e-06,-2.6299481622756504e-06,2.2339511453695357e-06,-7.991254794706254e-12,-1.134204682628385e-12,2.0198450440488354e-12,0.00047969352626426454,0.00028593429250779143,-0.00027245574613626606,8.62102382456911e-10,1.6140764099277116e-10,2.6649646428001355e-10,0.005883398727224793,0.0811780965164455,-0.07751263088026429,6.153205813239111e-07,1.523368216041114e-07,2.2954615352890014e-07,-1.2818103630669365e-06,-5.575668789308825e-05,0.0002358607906179521,-8.128390843048451e-10,-1.578156049538721e-10,-1.2957329643256654e-10
dB/dt tg08,-1.1436581510251603e-05,-1.003869355119872e-05,-3.778051182409225e-10,2.7614859391796164e-11,3.927108110354765e-13,-2.583144500848417e-06,-1.5113686056309885e-06,1.4836431926914868e-06,7.348654300672986e-11,-8.884434195962014e-13,2.0507881316201976e-12,0.00015047416334563064,0.00014465657899381774,-0.0001666596480507487,-9.243228218139105e-09,1.6933642119185953e-10,2.5596998310702036e-10,0.0030274563680929437,0.05844381273176859,-0.05596105606171649,-2.513003277377057e-06,1.0488349185503744e-07,2.3190614052745135e-07,-6.906202280964924e-07,-2.4530614340606114e-05,0.00014877352560629213,5.723712930925567e-09,-1.7519404261284469e-10,-1.2440396361521395e-10
dB/dt tg09,-9.677685918886215e-06,-9.802224824837302e-06,-1.456446809512756e-08,-2.4411425308162623e-11,2.3293398778351436e-12,-1.3122288902315124e-06,-8.163372861567416e-07,7.738511010887191e-07,4.4245967810302656e-10,-1.4888220259169881e-12,1.950646750829025e-12,6.3051324462550045e-06,6.4357392142337e-05,-7.171111516593002e-05,-6.770725095267977e-08,1.471570987186169e-10,2.8070086688958704e-10,0.0014207646031294853,0.03879000787102291,-0.03345658143356742,-8.915234215181268e-06,2.2215200472100297e-07,2.250108974044469e-07,-3.470540775591338e-07,-9.718693308138655e-06,7.098887291213391e-05,4.770459686101348e-08,-1.301171554489728e-10,-1.3743469936388936e-10
dB/dt tg10,-7.966808772856348e-06,-8.476992027796757e-06,-7.500912009563564e-08,-5.97984665894483e-11,3.4384274044160023e-12,-7.81210520558857e-07,-5.069750346162594e-07,3.457587510546405e-07,3.444819879695527e-09,-1.6248671598575222e-12,1.8895857930072334e-12,-2.8569483927570976e-05,3.267816200326412e-05,-1.7465992409706692e-05,-4.87317594153174e-07,1.0329854961203359e-10,2.946436041381237e-10,0.0007826673153231419,0.0274065393894109,-0.01855480093869623,-9.493227399508577e-05,2.8468322711196694e-07,2.2091543664899612e-07,-2.040705082860041e-07,-4.999456478695444e-06,2.6551620667734632e-05,3.3573504771807244e-07,-8.665067005891319e-11,-1.449237786549821e-10
