X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
139.208,404.151,6.507,23.057,0.0,1e-06,0.1
139.208,404.151,7.062,22.429,0.2,0.00012,0.502
139.208,404.151,10.248,14.716,0.4,0.00012,0.38
139.208,404.151,8.306,18.173,0.4,0.00011,0.41
139.208,404.151,8.028,25.714,0.3,0.0001,0.479
139.208,404.151,0.0,30.933,0.3,9.9e-05,0.504
