X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
132.500,0.000,0.000,6.424,22.875,0.0,1.0e-06,0.100
132.500,0.000,0.000,7.248,23.562,0.2,1.1e-04,0.505
132.500,0.000,0.000,10.160,14.976,0.4,1.2e-04,0.381
132.500,0.000,0.000,8.255,19.143,0.4,1.1e-04,0.423
132.500,0.000,0.000,8.025,26.062,0.3,1.0e-04,0.481
132.500,0.000,0.000,0.000,30.860,0.3,9.9e-05,0.503
