time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,3.084646401e-03,2.980864000e-03,4.019968000e-06,1.490432000e-04,1.481718268e+01,1.518000000e+01
6.070000e-06,1.911864991e-03,1.838112000e-03,2.400697600e-06,9.190560000e-05,1.509952180e+01,1.550000000e+01
7.080000e-06,1.261013102e-03,1.238003200e-03,1.685132800e-06,6.190016000e-05,1.541868480e+01,1.562000000e+01
8.520000e-06,7.651012162e-04,7.801152000e-04,1.028608000e-06,3.900576000e-05,1.580170342e+01,1.561000000e+01
1.053000e-05,4.314529057e-04,4.542144000e-04,6.460288000e-07,2.271072000e-05,1.626470816e+01,1.572000000e+01
1.255000e-05,2.724570734e-04,2.889024000e-04,3.946496000e-07,1.444512000e-05,1.649342657e+01,1.587000000e+01
1.456000e-05,1.893564059e-04,2.003424000e-04,3.164544000e-07,1.001712000e-05,1.641069093e+01,1.581000000e+01
1.744000e-05,1.256749718e-04,1.284448000e-04,1.748633600e-07,6.422240000e-06,1.596513127e+01,1.574000000e+01
2.146000e-05,8.188710710e-05,7.966464000e-05,1.109164800e-07,3.983232000e-06,1.503335607e+01,1.531000000e+01
2.549000e-05,5.853897127e-05,5.520896000e-05,8.966208000e-08,2.760448000e-06,1.411462603e+01,1.468000000e+01
2.950000e-05,4.430844842e-05,4.119680000e-05,8.032064000e-08,2.059840000e-06,1.332155036e+01,1.398000000e+01
3.528000e-05,3.148982476e-05,2.962496000e-05,4.899008000e-08,1.481248000e-06,1.241427522e+01,1.293000000e+01
4.330000e-05,2.142165574e-05,2.098412800e-05,4.710080000e-08,1.049206400e-06,1.140776698e+01,1.157000000e+01
5.140000e-05,1.571925209e-05,1.606675200e-05,3.736576000e-08,8.033376000e-07,1.053633026e+01,1.038000000e+01
5.941000e-05,1.228387683e-05,1.294156800e-05,3.101568000e-08,6.470784000e-07,9.755726201e+00,9.420000000e+00
7.095000e-05,9.238084768e-06,9.942336000e-06,2.296262400e-08,4.971168000e-07,8.775540283e+00,8.360000000e+00
8.707000e-05,7.119999243e-06,7.449536000e-06,1.847820800e-08,3.724768000e-07,7.421327889e+00,7.200000000e+00
1.031600e-04,5.834440432e-06,5.814784000e-06,1.496729600e-08,2.907392000e-07,6.388478878e+00,6.400000000e+00
1.192200e-04,4.863656884e-06,4.707456000e-06,1.711110400e-08,2.353728000e-07,5.667071306e+00,5.790000000e+00
1.423300e-04,3.645948180e-06,3.555520000e-06,1.150361600e-08,1.777760000e-07,5.111496672e+00,5.200000000e+00
1.745400e-04,2.372911841e-06,2.535571200e-06,1.112838400e-08,1.267785600e-07,4.844360683e+00,4.630000000e+00
