X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
106.875,402.42,7.062,15.967,0.0,1e-06,0.1
106.875,402.42,8.386,26.994,0.2,0.00011,0.463
106.875,402.42,6.43,13.275,0.4,0.00013,0.383
106.875,402.42,8.034,15.721,0.5,0.00012,0.372
106.875,402.42,8.026,25.232,0.3,0.0001,0.476
106.875,402.42,0.0,31.589,0.3,9.9e-05,0.506
