X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,11.000,400.000,0.0,1.0e-06,0.010
0.000,0.000,0.000,14.000,6000.000,0.6,1.0e-04,0.600
0.000,0.000,0.000,0.000,400.000,0.0,1.0e-06,0.010
