X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,10.000,500.000,0.0,1.0e-06,0.010
0.000,0.000,0.000,15.000,5000.000,0.8,5.0e-04,0.900
0.000,0.000,0.000,0.000,300.000,0.0,1.0e-06,0.010
