X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,10.587,444.875,0.0,1.0e-06,0.010
0.000,0.000,0.000,14.904,2108.887,0.7,6.4e-04,0.951
0.000,0.000,0.000,0.000,343.406,0.0,1.0e-06,0.010
