X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
89.534,402.049,6.552,20.513,0.0,1e-06,0.1
89.534,402.049,8.463,62.067,0.1,9.7e-05,0.527
89.534,402.049,6.001,20.247,0.3,0.00012,0.499
89.534,402.049,11.158,16.798,0.5,0.00012,0.435
89.534,402.049,8.278,19.658,0.4,0.00011,0.426
89.534,402.049,0.0,30.087,0.3,9.9e-05,0.5
