X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
89.534,402.049,6.23,19.08,0.0,1e-06,0.1
89.534,402.049,8.053,69.379,0.1,9.2e-05,0.493
89.534,402.049,5.462,24.708,0.2,0.00012,0.509
89.534,402.049,9.28,15.201,0.5,0.00012,0.403
89.534,402.049,8.367,16.933,0.5,0.00011,0.388
89.534,402.049,0.0,28.908,0.3,0.0001,0.495
