X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
95.000,0.000,0.000,6.542,20.954,0.0,1.0e-06,0.100
95.000,0.000,0.000,8.426,58.907,0.1,9.7e-05,0.530
95.000,0.000,0.000,6.218,20.704,0.3,1.2e-04,0.497
95.000,0.000,0.000,10.802,16.978,0.5,1.2e-04,0.433
95.000,0.000,0.000,8.209,21.014,0.4,1.1e-04,0.442
95.000,0.000,0.000,0.000,30.099,0.3,1.0e-04,0.500
