,thk_00,thk_01,thk_02,thk_03,thk_04,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,rho0_05,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,max_pha_05,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,tau_phi_05,c_00,c_01,c_02,c_03,c_04,c_05
dB/dt tg01,0.00010505985482121885,2.2191447407846307e-05,1.7295850647834972e-06,2.5593758322202872e-11,4.901432031709615e-12,-0.000128035255341329,-5.148437100988766e-06,4.014150681239222e-06,3.7267538190555234e-08,-3.438410515784375e-12,1.8476971988177225e-12,0.028794238636606538,0.0015016105419345495,-0.0003903091717741026,-6.891422687549089e-06,4.398978098918786e-10,2.903126914879283e-10,0.177332530951631,0.022566256528216665,-0.0643793033539729,-0.0009012567858570133,2.8996534749971757e-07,2.5333946875791586e-07,-3.48304465655629e-05,-0.0003032062710555704,0.00015652754641807908,6.520118571617413e-06,-4.438874069581877e-10,-1.5231376014533702e-10
dB/dt tg02,6.793732969340226e-05,1.0089970595016686e-05,3.9354144021917555e-06,2.353345257991199e-11,4.943073062823431e-12,-7.439732669394396e-05,-4.002895602768563e-06,2.8352019727771095e-06,1.159294163996871e-07,-3.374687523159666e-12,1.8464329577989403e-12,0.015663409530097448,0.001126309692539253,-0.00025949836761107465,-2.073578895932917e-05,4.298887540239878e-10,2.9014743493212003e-10,0.1024523008433992,0.045351512747829996,-0.06119747692002288,-0.0031547904246174876,2.884191985090036e-07,2.531278562085792e-07,-2.030059020221907e-05,-0.00021128897797608294,9.328743402723256e-05,1.919846721120738e-05,-4.3721817823810863e-10,-1.5231984691287952e-10
dB/dt tg03,4.4074093507929276e-05,3.0417711794568544e-06,6.067638267729114e-06,2.081208154071506e-11,4.999498083878093e-12,-4.614005216884294e-05,-3.051646275899201e-06,1.6251489773644414e-06,2.2519706541715398e-07,-3.291042054529774e-12,1.8453682843993026e-12,0.009045149528651259,0.000830980982532166,-0.00013070178778056693,-3.922505311162862e-05,4.167479915140514e-10,2.899789400653126e-10,0.0630440964109147,0.052366167737819644,-0.05144638743877227,-0.006642940503377153,2.8644084221953633e-07,2.5288346505830064e-07,-1.2615560163007412e-05,-0.0001463366724610615,3.675719262136489e-05,3.585320086541786e-05,-4.284806944173619e-10,-1.5233011453430463e-10
dB/dt tg04,2.431064211141454e-05,-1.8411096944955245e-06,7.829431080250834e-06,2.5862043046825972e-11,4.882437925739901e-12,-2.5924875187703106e-05,-2.07661529395107e-06,3.162949001629615e-07,3.885575108887595e-07,-3.4392460022630026e-12,1.8410337334525714e-12,0.004581062949888333,0.0005395772854237443,3.944470622975886e-06,-6.539341026122026e-05,4.402798064907795e-10,2.8974633622557496e-10,0.034934609110457995,0.051458127322056686,-0.03479793819896888,-0.01255772812352084,2.8953552758989853e-07,2.529869408942309e-07,-7.09519410558673e-06,-8.743973769928493e-05,-1.6972726647172832e-05,5.901040095243803e-05,-4.438815527101103e-10,-1.5229087832769598e-10
dB/dt tg05,1.156357133716185e-05,-3.7568884252680345e-06,7.822638133526456e-06,2.8277162784473234e-11,4.821193743749995e-12,-1.319665007390796e-05,-1.2755115265980434e-06,-6.282816886079901e-07,5.749733532941585e-07,-3.5075350244206106e-12,1.8364484418516238e-12,0.0019684801862910706,0.00030966288424408815,9.470205177759153e-05,-9.277296229330335e-05,4.5119256863694857e-10,2.894201089124477e-10,0.01737025602,0.04417295521726847,-0.014584433503655275,-0.020464149525493476,2.9071495765780983e-07,2.5290256594403223e-07,-3.6108025805617864e-06,-4.50493278539978e-05,-4.64026107187447e-05,8.272112709535617e-05,-4.5092840518487155e-10,-1.5226738978697074e-10
dB/dt tg06,5.672501648853834e-06,-4.025802050205872e-06,6.200128436428986e-06,-4.1478186509368014e-12,5.529972110225625e-12,-7.449885655284104e-06,-8.14183307969282e-07,-9.181980688292368e-07,6.732867076548032e-07,-2.532616838145477e-12,1.8428339019447896e-12,0.0008977830033860218,0.00018315178164522334,0.00011619627150279992,-0.00010461098039718113,2.9719290331023343e-10,2.8906770125838874e-10,0.009536162234266489,0.036122906272400127,-0.0017497424652721046,-0.025809160491421654,2.6868810323096964e-07,2.5106794982729317e-07,-2.035351463131734e-06,-2.3864308921099863e-05,-4.856142999023805e-05,9.272571470755238e-05,-3.492923265673638e-10,-1.5246151186886776e-10
dB/dt tg07,2.577161286178352e-06,-3.930730277463627e-06,4.198678824971711e-06,1.4422346758203292e-11,5.110704054121949e-12,-4.5645177396449505e-06,-5.347218114681126e-07,-9.062887524524418e-07,6.982332491075562e-07,-3.0849379345556688e-12,1.8330067755596776e-12,0.00041695730517815036,0.00010987385826286247,0.00010753915759128239,-0.00010480161562705986,3.845531357537568e-10,2.8876865983995224e-10,0.005660652254053594,0.02914358815776957,0.005146967206174908,-0.028413099720782823,2.806372720322064e-07,2.518000479004402e-07,-1.2439563450208696e-06,-1.2627496196121697e-05,-4.108256517176758e-05,9.273697115829167e-05,-4.067500294057214e-10,-1.5234316667822089e-10
dB/dt tg08,2.817607501936031e-07,-3.6742034613827514e-06,1.8214108894152095e-06,1.3808330521411143e-10,2.3623536463128178e-12,-2.4691184845996937e-06,-3.0511134015112767e-07,-7.40265672663437e-07,6.552132653903971e-07,-6.783094823299957e-12,1.7881081572602998e-12,0.00011235474088503587,5.2991053828475295e-05,8.28404757013528e-05,-9.397461460227422e-05,9.691534714094135e-10,2.884278335978254e-10,0.0028988721156740617,0.021408910044477376,0.009004396484535658,-0.028550085942785887,3.624136739148012e-07,2.577289807998659e-07,-6.695664986481754e-07,-4.79345501670831e-06,-2.893275318253244e-05,8.347665238597644e-05,-7.91880606566846e-10,-1.5157649337183223e-10
dB/dt tg09,-1.0616246818154492e-06,-3.276371771374936e-06,-1.926291322630876e-07,-1.7490161120800223e-10,9.194250149096903e-12,-1.1920032123880141e-06,-1.5010754348827285e-07,-5.039895632210127e-07,5.36551032919793e-07,2.5904328835471562e-12,1.878768496745722e-12,-3.1709917409447906e-05,1.8089400507079442e-05,5.267989575459402e-05,-7.250336563801411e-05,-5.113409745093889e-10,2.874689974385891e-10,0.001268201550912155,0.014171796802795341,0.009406884959402471,-0.025224645201049965,1.530146629852593e-07,2.4171671727523094e-07,-3.2006110914218e-07,-7.974195361243901e-07,-1.68256754883287e-05,6.529809841914691e-05,1.847414430971565e-10,-1.5347856210054288e-10
dB/dt tg10,-1.5107150420770873e-06,-2.8800181733992876e-06,-1.084473091931216e-06,-4.65851868404709e-10,1.3108062617358789e-11,-6.465641890912742e-07,-7.982908177968979e-08,-3.481850413324409e-07,4.123742886496126e-07,1.1154933310195172e-11,1.9275058166945316e-12,-6.800763862809567e-05,4.4681231659583065e-06,3.4137448314986895e-05,-5.254278187772498e-05,-1.8399351222452386e-09,2.8665204812395946e-10,0.0006043583932193423,0.009692965160820584,0.008229187699803468,-0.020631329322776407,-4.948453733027682e-08,2.323712958464005e-07,-1.711739228186311e-07,3.3303677553316327e-07,-1.0328449370441916e-05,4.841922254055495e-05,1.076095742472281e-09,-1.5456246827765435e-10
