time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
1.255000e-05,7.854609524e-05,7.860400000e-05,7.253240000e-08,1.100456000e-05,2.477210643e+02,2.477300000e+02
1.456000e-05,3.096701926e-05,3.677360000e-05,2.795000000e-08,5.148304000e-06,3.596805765e+02,3.208900000e+02
1.744000e-05,4.431774518e-06,7.069200000e-06,1.325604000e-08,9.896880000e-07,9.730973916e+02,7.128300000e+02
2.146000e-05,-5.042378268e-06,-6.677040000e-06,2.241160000e-08,9.347856000e-07,-6.318961886e+02,-5.238500000e+02
2.549000e-05,-6.458435594e-06,-7.512960000e-06,2.265240000e-09,1.051814400e-06,-4.021773416e+02,-3.636600000e+02
2.950000e-05,-5.780555891e-06,-7.146600000e-06,1.752680000e-08,1.000524000e-06,-3.394447664e+02,-2.946200000e+02
3.528000e-05,-4.182899726e-06,-3.801200000e-06,2.088080000e-09,5.321680000e-07,-3.125500818e+02,-3.331600000e+02
4.330000e-05,-2.440006214e-06,-2.449280000e-06,7.105320000e-09,3.428992000e-07,-3.182084914e+02,-3.173200000e+02
5.140000e-05,-1.422326844e-06,-1.293096000e-06,4.535640000e-09,1.810334400e-07,-3.426473762e+02,-3.650800000e+02
5.941000e-05,-8.369354059e-07,-7.026200000e-07,3.219840000e-09,9.836680000e-08,-3.833172223e+02,-4.307600000e+02
7.095000e-05,-3.708295845e-07,-3.243920000e-07,2.232560000e-09,4.541488000e-08,-4.906238214e+02,-5.363100000e+02
8.707000e-05,-1.128511584e-07,-1.305480000e-07,2.299640000e-09,1.827672000e-08,-7.709045786e+02,-6.995100000e+02
