X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
90.000,0.000,0.000,3.735,300.000,0.0,1.0e-06,0.083
90.000,0.000,0.000,2.734,3296.468,0.5,4.2e-05,0.805
90.000,0.000,0.000,2.738,3139.178,0.6,4.7e-05,0.808
90.000,0.000,0.000,2.761,2947.222,0.7,5.7e-05,0.798
90.000,0.000,0.000,5.000,2075.031,0.9,7.8e-05,0.780
90.000,0.000,0.000,0.000,331.511,0.0,1.0e-06,0.023
